vertex,r_edge_cm,phi_0
89,1.78000000e+00,4.06339279e+00
90,1.80000000e+00,4.06411762e+00
91,1.82000000e+00,4.06485062e+00
92,1.84000000e+00,4.06559182e+00
93,1.86000000e+00,4.06634120e+00
94,1.88000000e+00,4.06709876e+00
95,1.90000000e+00,4.06786452e+00
96,1.92000000e+00,4.06863847e+00
97,1.94000000e+00,4.06942062e+00
98,1.96000000e+00,4.07021097e+00
99,1.98000000e+00,4.07100953e+00
100,2.00000000e+00,4.07181628e+00
101,2.02000000e+00,4.07263125e+00
102,2.04000000e+00,4.07345443e+00
103,2.06000000e+00,4.07428582e+00
104,2.08000000e+00,4.07512543e+00
105,2.10000000e+00,4.07597326e+00
106,2.12000000e+00,4.07682931e+00
107,2.14000000e+00,4.07769359e+00
108,2.16000000e+00,4.07856610e+00
109,2.18000000e+00,4.07944684e+00
110,2.20000000e+00,4.08033581e+00
111,2.22000000e+00,4.08123303e+00
112,2.24000000e+00,4.08213849e+00
113,2.26000000e+00,4.08305219e+00
114,2.28000000e+00,4.08397414e+00
115,2.30000000e+00,4.08490434e+00
116,2.32000000e+00,4.08584280e+00
117,2.34000000e+00,4.08678952e+00
118,2.36000000e+00,4.08774449e+00
119,2.38000000e+00,4.08870774e+00
120,2.40000000e+00,4.08967925e+00
121,2.42000000e+00,4.09065904e+00
122,2.44000000e+00,4.09164710e+00
123,2.46000000e+00,4.09264344e+00
124,2.48000000e+00,4.09364806e+00
125,2.50000000e+00,4.09466097e+00
126,2.52000000e+00,4.09568217e+00
127,2.54000000e+00,4.09671167e+00
128,2.56000000e+00,4.09774946e+00
129,2.58000000e+00,4.09879555e+00
130,2.60000000e+00,4.09984995e+00
131,2.62000000e+00,4.10091266e+00
132,2.64000000e+00,4.10198368e+00
133,2.66000000e+00,4.10306301e+00
134,2.68000000e+00,4.10415067e+00
135,2.70000000e+00,4.10524665e+00
136,2.72000000e+00,4.10635096e+00
137,2.74000000e+00,4.10746360e+00
138,2.76000000e+00,4.10858458e+00
139,2.78000000e+00,4.10971390e+00
140,2.80000000e+00,4.11085156e+00
141,2.82000000e+00,4.11199757e+00
142,2.84000000e+00,4.11315194e+00
143,2.86000000e+00,4.11431466e+00
144,2.88000000e+00,4.11548574e+00
145,2.90000000e+00,4.11666519e+00
146,2.92000000e+00,4.11785300e+00
147,2.94000000e+00,4.11904919e+00
148,2.96000000e+00,4.12025376e+00
149,2.98000000e+00,4.12146671e+00
150,3.00000000e+00,4.12268805e+00
151,3.02000000e+00,4.12391778e+00
152,3.04000000e+00,4.12515590e+00
153,3.06000000e+00,4.12640242e+00
154,3.08000000e+00,4.12765735e+00
155,3.10000000e+00,4.12892069e+00
156,3.12000000e+00,4.13019244e+00
157,3.14000000e+00,4.13147261e+00
158,3.16000000e+00,4.13276120e+00
159,3.18000000e+00,4.13405822e+00
160,3.20000000e+00,4.13536367e+00
161,3.22000000e+00,4.13667755e+00
162,3.24000000e+00,4.13799988e+00
163,3.26000000e+00,4.13933066e+00
164,3.28000000e+00,4.14066989e+00
165,3.30000000e+00,4.14201757e+00
166,3.32000000e+00,4.14337371e+00
167,3.34000000e+00,4.14473832e+00
168,3.36000000e+00,4.14611140e+00
169,3.38000000e+00,4.14749295e+00
170,3.40000000e+00,4.14888299e+00
171,3.42000000e+00,4.15028151e+00
172,3.44000000e+00,4.15168852e+00
173,3.46000000e+00,4.15310403e+00
174,3.48000000e+00,4.15452804e+00
175,3.50000000e+00,4.15596055e+00
176,3.52000000e+00,4.15740158e+00
177,3.54000000e+00,4.15885112e+00
178,3.56000000e+00,4.16030918e+00
179,3.58000000e+00,4.16177577e+00
180,3.60000000e+00,4.16325089e+00
181,3.62000000e+00,4.16473455e+00
182,3.64000000e+00,4.16622675e+00
183,3.66000000e+00,4.16772750e+00
184,3.68000000e+00,4.16923680e+00
185,3.70000000e+00,4.17075466e+00
186,3.72000000e+00,4.17228109e+00
187,3.74000000e+00,4.17381609e+00
188,3.76000000e+00,4.17535966e+00
189,3.78000000e+00,4.17691181e+00
190,3.80000000e+00,4.17847255e+00
191,3.82000000e+00,4.18004189e+00
192,3.84000000e+00,4.18161982e+00
193,3.86000000e+00,4.18320635e+00
194,3.88000000e+00,4.18480149e+00
195,3.90000000e+00,4.18640525e+00
196,3.92000000e+00,4.18801763e+00
197,3.94000000e+00,4.18963864e+00
198,3.96000000e+00,4.19126828e+00
199,3.98000000e+00,4.19290655e+00
200,4.00000000e+00,4.19455348e+00
201,4.02000000e+00,4.19620905e+00
202,4.04000000e+00,4.19787328e+00
203,4.06000000e+00,4.19954617e+00
204,4.08000000e+00,4.20122773e+00
205,4.10000000e+00,4.20291796e+00
206,4.12000000e+00,4.20461688e+00
207,4.14000000e+00,4.20632448e+00
208,4.16000000e+00,4.20804077e+00
209,4.18000000e+00,4.20976577e+00
210,4.20000000e+00,4.21149947e+00
211,4.22000000e+00,4.21324188e+00
212,4.24000000e+00,4.21499301e+00
213,4.26000000e+00,4.21675286e+00
214,4.28000000e+00,4.21852145e+00
215,4.30000000e+00,4.22029877e+00
216,4.32000000e+00,4.22208483e+00
217,4.34000000e+00,4.22387965e+00
218,4.36000000e+00,4.22568322e+00
219,4.38000000e+00,4.22749555e+00
220,4.40000000e+00,4.22931666e+00
221,4.42000000e+00,4.23114654e+00
222,4.44000000e+00,4.23298520e+00
223,4.46000000e+00,4.23483265e+00
224,4.48000000e+00,4.23668890e+00
225,4.50000000e+00,4.23855395e+00
226,4.52000000e+00,4.24042781e+00
227,4.54000000e+00,4.24231049e+00
228,4.56000000e+00,4.24420199e+00
229,4.58000000e+00,4.24610232e+00
230,4.60000000e+00,4.24801148e+00
231,4.62000000e+00,4.24992949e+00
232,4.64000000e+00,4.25185635e+00
233,4.66000000e+00,4.25379207e+00
234,4.68000000e+00,4.25573666e+00
235,4.70000000e+00,4.25769011e+00
236,4.72000000e+00,4.25965245e+00
237,4.74000000e+00,4.26162367e+00
238,4.76000000e+00,4.26360378e+00
239,4.78000000e+00,4.26559279e+00
240,4.80000000e+00,4.26759071e+00
241,4.82000000e+00,4.26959755e+00
242,4.84000000e+00,4.27161331e+00
243,4.86000000e+00,4.27363799e+00
244,4.88000000e+00,4.27567162e+00
245,4.90000000e+00,4.27771418e+00
246,4.92000000e+00,4.27976570e+00
247,4.94000000e+00,4.28182618e+00
248,4.96000000e+00,4.28389562e+00
249,4.98000000e+00,4.28597404e+00
250,5.00000000e+00,4.28806144e+00
251,5.02000000e+00,4.29015783e+00
252,5.04000000e+00,4.29226321e+00
253,5.06000000e+00,4.29437760e+00
254,5.08000000e+00,4.29650100e+00
255,5.10000000e+00,4.29863342e+00
256,5.12000000e+00,4.30077487e+00
257,5.14000000e+00,4.30292535e+00
258,5.16000000e+00,4.30508487e+00
259,5.18000000e+00,4.30725345e+00
260,5.20000000e+00,4.30943108e+00
261,5.22000000e+00,4.31161778e+00
262,5.24000000e+00,4.31381355e+00
263,5.26000000e+00,4.31601841e+00
264,5.28000000e+00,4.31823235e+00
265,5.30000000e+00,4.32045540e+00
266,5.32000000e+00,4.32268755e+00
267,5.34000000e+00,4.32492881e+00
268,5.36000000e+00,4.32717920e+00
269,5.38000000e+00,4.32943872e+00
270,5.40000000e+00,4.33170737e+00
271,5.42000000e+00,4.33398518e+00
272,5.44000000e+00,4.33627214e+00
273,5.46000000e+00,4.33856826e+00
274,5.48000000e+00,4.34087355e+00
275,5.50000000e+00,4.34318803e+00
276,5.52000000e+00,4.34551169e+00
277,5.54000000e+00,4.34784455e+00
278,5.56000000e+00,4.35018662e+00
279,5.58000000e+00,4.35253790e+00
280,5.60000000e+00,4.35489841e+00
281,5.62000000e+00,4.35726814e+00
282,5.64000000e+00,4.35964712e+00
283,5.66000000e+00,4.36203534e+00
284,5.68000000e+00,4.36443282e+00
285,5.70000000e+00,4.36683957e+00
286,5.72000000e+00,4.36925559e+00
287,5.74000000e+00,4.37168089e+00
288,5.76000000e+00,4.37411549e+00
289,5.78000000e+00,4.37655939e+00
290,5.80000000e+00,4.37901259e+00
291,5.82000000e+00,4.38147512e+00
292,5.84000000e+00,4.38394697e+00
293,5.86000000e+00,4.38642817e+00
294,5.88000000e+00,4.38891870e+00
295,5.90000000e+00,4.39141859e+00
296,5.92000000e+00,4.39392785e+00
297,5.94000000e+00,4.39644648e+00
298,5.96000000e+00,4.39897449e+00
299,5.98000000e+00,4.40151189e+00
300,6.00000000e+00,4.40405869e+00
301,6.02000000e+00,4.40661491e+00
302,6.04000000e+00,4.40918054e+00
303,6.06000000e+00,4.41175560e+00
304,6.08000000e+00,4.41434010e+00
305,6.10000000e+00,4.41693404e+00
306,6.12000000e+00,4.41953744e+00
307,6.14000000e+00,4.42215031e+00
308,6.16000000e+00,4.42477265e+00
309,6.18000000e+00,4.42740448e+00
310,6.20000000e+00,4.43004581e+00
311,6.22000000e+00,4.43269663e+00
312,6.24000000e+00,4.43535697e+00
313,6.26000000e+00,4.43802684e+00
314,6.28000000e+00,4.44070624e+00
315,6.30000000e+00,4.44339518e+00
316,6.32000000e+00,4.44609367e+00
317,6.34000000e+00,4.44880173e+00
318,6.36000000e+00,4.45151936e+00
319,6.38000000e+00,4.45424657e+00
320,6.40000000e+00,4.45698337e+00
321,6.42000000e+00,4.45972978e+00
322,6.44000000e+00,4.46248580e+00
323,6.46000000e+00,4.46525144e+00
324,6.48000000e+00,4.46802671e+00
325,6.50000000e+00,4.47081162e+00
326,6.52000000e+00,4.47360619e+00
327,6.54000000e+00,4.47641042e+00
328,6.56000000e+00,4.47922432e+00
329,6.58000000e+00,4.48204791e+00
330,6.60000000e+00,4.48488118e+00
331,6.62000000e+00,4.48772416e+00
332,6.64000000e+00,4.49057686e+00
333,6.66000000e+00,4.49343928e+00
334,6.68000000e+00,4.49631143e+00
335,6.70000000e+00,4.49919333e+00
336,6.72000000e+00,4.50208498e+00
337,6.74000000e+00,4.50498640e+00
338,6.76000000e+00,4.50789759e+00
339,6.78000000e+00,4.51081857e+00
340,6.80000000e+00,4.51374935e+00
341,6.82000000e+00,4.51668994e+00
342,6.84000000e+00,4.51964034e+00
343,6.86000000e+00,4.52260057e+00
344,6.88000000e+00,4.52557064e+00
345,6.90000000e+00,4.52855056e+00
346,6.92000000e+00,4.53154034e+00
347,6.94000000e+00,4.53454000e+00
348,6.96000000e+00,4.53754953e+00
349,6.98000000e+00,4.54056895e+00
350,7.00000000e+00,4.54359828e+00
351,7.02000000e+00,4.54663753e+00
352,7.04000000e+00,4.54968669e+00
353,7.06000000e+00,4.55274579e+00
354,7.08000000e+00,4.55581484e+00
355,7.10000000e+00,4.55889384e+00
356,7.12000000e+00,4.56198281e+00
357,7.14000000e+00,4.56508176e+00
358,7.16000000e+00,4.56819069e+00
359,7.18000000e+00,4.57130962e+00
360,7.20000000e+00,4.57443856e+00
361,7.22000000e+00,4.57757752e+00
362,7.24000000e+00,4.58072651e+00
363,7.26000000e+00,4.58388553e+00
364,7.28000000e+00,4.58705461e+00
365,7.30000000e+00,4.59023375e+00
366,7.32000000e+00,4.59342295e+00
367,7.34000000e+00,4.59662223e+00
368,7.36000000e+00,4.59983160e+00
369,7.38000000e+00,4.60305107e+00
370,7.40000000e+00,4.60628065e+00
371,7.42000000e+00,4.60952034e+00
372,7.44000000e+00,4.61277016e+00
373,7.46000000e+00,4.61603011e+00
374,7.48000000e+00,4.61930020e+00
375,7.50000000e+00,4.62258044e+00
376,7.52000000e+00,4.62587084e+00
377,7.54000000e+00,4.62917140e+00
378,7.56000000e+00,4.63248213e+00
379,7.58000000e+00,4.63580304e+00
380,7.60000000e+00,4.63913412e+00
381,7.62000000e+00,4.64247540e+00
382,7.64000000e+00,4.64582687e+00
383,7.66000000e+00,4.64918853e+00
384,7.68000000e+00,4.65256038e+00
385,7.70000000e+00,4.65594244e+00
386,7.72000000e+00,4.65933469e+00
387,7.74000000e+00,4.66273714e+00
388,7.76000000e+00,4.66614979e+00
389,7.78000000e+00,4.66957263e+00
390,7.80000000e+00,4.67300566e+00
391,7.82000000e+00,4.67644888e+00
392,7.84000000e+00,4.67990226e+00
393,7.86000000e+00,4.68336581e+00
394,7.88000000e+00,4.68683951e+00
395,7.90000000e+00,4.69032335e+00
396,7.92000000e+00,4.69381731e+00
397,7.94000000e+00,4.69732136e+00
398,7.96000000e+00,4.70083549e+00
399,7.98000000e+00,4.70435966e+00
400,8.00000000e+00,4.70789384e+00
401,8.02000000e+00,4.71143800e+00
402,8.04000000e+00,4.71499209e+00
403,8.06000000e+00,4.71855607e+00
404,8.08000000e+00,4.72212989e+00
405,8.10000000e+00,4.72571348e+00
406,8.12000000e+00,4.72930678e+00
407,8.14000000e+00,4.73290971e+00
408,8.16000000e+00,4.73652218e+00
409,8.18000000e+00,4.74014411e+00
410,8.20000000e+00,4.74377538e+00
411,8.22000000e+00,4.74741588e+00
412,8.24000000e+00,4.75106548e+00
413,8.26000000e+00,4.75472402e+00
414,8.28000000e+00,4.75839135e+00
415,8.30000000e+00,4.76206728e+00
416,8.32000000e+00,4.76575160e+00
417,8.34000000e+00,4.76944410e+00
418,8.36000000e+00,4.77314452e+00
419,8.38000000e+00,4.77685258e+00
420,8.40000000e+00,4.78056796e+00
421,8.42000000e+00,4.78429033e+00
422,8.44000000e+00,4.78801930e+00
423,8.46000000e+00,4.79175443e+00
424,8.48000000e+00,4.79549525e+00
425,8.50000000e+00,4.79924123e+00
426,8.52000000e+00,4.80299179e+00
427,8.54000000e+00,4.80674626e+00
428,8.56000000e+00,4.81050392e+00
429,8.58000000e+00,4.81426395e+00
430,8.60000000e+00,4.81802545e+00
431,8.62000000e+00,4.82178742e+00
432,8.64000000e+00,4.82554874e+00
433,8.66000000e+00,4.82930816e+00
434,8.68000000e+00,4.83306431e+00
435,8.70000000e+00,4.83681563e+00
436,8.72000000e+00,4.84056041e+00
437,8.74000000e+00,4.84429674e+00
438,8.76000000e+00,4.84802250e+00
439,8.78000000e+00,4.85173532e+00
440,8.80000000e+00,4.85543257e+00
441,8.82000000e+00,4.85911132e+00
442,8.84000000e+00,4.86276831e+00
443,8.86000000e+00,4.86639993e+00
444,8.88000000e+00,4.87000214e+00
445,8.90000000e+00,4.87357047e+00
446,8.92000000e+00,4.87709996e+00
447,8.94000000e+00,4.88058508e+00
448,8.96000000e+00,4.88401971e+00
449,8.98000000e+00,4.88739706e+00
450,9.00000000e+00,4.89070962e+00
451,9.02000000e+00,4.89394904e+00
452,9.04000000e+00,4.89710612e+00
453,9.06000000e+00,4.90017065e+00
454,9.08000000e+00,4.90313139e+00
455,9.10000000e+00,4.90597591e+00
456,9.12000000e+00,4.90869052e+00
457,9.14000000e+00,4.91126012e+00
458,9.16000000e+00,4.91366812e+00
459,9.18000000e+00,4.91589626e+00
460,9.20000000e+00,4.91792448e+00
461,9.22000000e+00,4.91973076e+00
462,9.24000000e+00,4.92129094e+00
463,9.26000000e+00,4.92257848e+00
464,9.28000000e+00,4.92356427e+00
465,9.30000000e+00,4.92421633e+00
466,9.32000000e+00,4.92449948e+00
467,9.34000000e+00,4.92437493e+00
468,9.36000000e+00,4.92379979e+00
469,9.38000000e+00,4.92272646e+00
470,9.40000000e+00,4.92110179e+00
471,9.42000000e+00,4.91886608e+00
472,9.44000000e+00,4.91595169e+00
473,9.46000000e+00,4.91228139e+00
474,9.48000000e+00,4.90776602e+00
475,9.50000000e+00,4.90230161e+00
476,9.52000000e+00,4.89576564e+00
477,9.54000000e+00,4.88801218e+00
478,9.56000000e+00,4.87886585e+00
479,9.58000000e+00,4.86811421e+00
480,9.60000000e+00,4.85549848e+00
481,9.62000000e+00,4.84070233e+00
482,9.64000000e+00,4.82333899e+00
483,9.66000000e+00,4.80293691e+00
484,9.68000000e+00,4.77892516e+00
485,9.70000000e+00,4.75062075e+00
486,9.72000000e+00,4.71722171e+00
487,9.74000000e+00,4.67781304e+00
488,9.76000000e+00,4.63139698e+00
489,9.78000000e+00,4.57696647e+00
490,9.80000000e+00,4.51365161e+00
491,9.82000000e+00,4.44098470e+00
492,9.84000000e+00,4.35934928e+00
493,9.86000000e+00,4.27069117e+00
494,9.88000000e+00,4.17952173e+00
495,9.90000000e+00,4.09391249e+00
496,9.92000000e+00,4.02468735e+00
497,9.94000000e+00,3.97495978e+00
498,9.96000000e+00,3.88844781e+00
499,9.98000000e+00,3.43347434e+00
500,1.00000000e+01,2.65523301e+00
