vertex,r_edge_cm,phi_0
0,0.00000000e+00,4.03142599e+00
1,2.00000000e-02,4.03143140e+00
2,4.00000000e-02,4.03144115e+00
3,6.00000000e-02,4.03145982e+00
4,8.00000000e-02,4.03148694e+00
5,1.00000000e-01,4.03152208e+00
6,1.20000000e-01,4.03156531e+00
7,1.40000000e-01,4.03161660e+00
8,1.60000000e-01,4.03167600e+00
9,1.80000000e-01,4.03174349e+00
10,2.00000000e-01,4.03181909e+00
11,2.20000000e-01,4.03190280e+00
12,2.40000000e-01,4.03199462e+00
13,2.60000000e-01,4.03209455e+00
14,2.80000000e-01,4.03220258e+00
15,3.00000000e-01,4.03231872e+00
16,3.20000000e-01,4.03244296e+00
17,3.40000000e-01,4.03257530e+00
18,3.60000000e-01,4.03271574e+00
19,3.80000000e-01,4.03286427e+00
20,4.00000000e-01,4.03302089e+00
21,4.20000000e-01,4.03318561e+00
22,4.40000000e-01,4.03335842e+00
23,4.60000000e-01,4.03353932e+00
24,4.80000000e-01,4.03372831e+00
25,5.00000000e-01,4.03392539e+00
26,5.20000000e-01,4.03413055e+00
27,5.40000000e-01,4.03434380e+00
28,5.60000000e-01,4.03456514e+00
29,5.80000000e-01,4.03479457e+00
30,6.00000000e-01,4.03503208e+00
31,6.20000000e-01,4.03527768e+00
32,6.40000000e-01,4.03553137e+00
33,6.60000000e-01,4.03579315e+00
34,6.80000000e-01,4.03606301e+00
35,7.00000000e-01,4.03634097e+00
36,7.20000000e-01,4.03662701e+00
37,7.40000000e-01,4.03692114e+00
38,7.60000000e-01,4.03722336e+00
39,7.80000000e-01,4.03753367e+00
40,8.00000000e-01,4.03785207e+00
41,8.20000000e-01,4.03817857e+00
42,8.40000000e-01,4.03851315e+00
43,8.60000000e-01,4.03885583e+00
44,8.80000000e-01,4.03920661e+00
45,9.00000000e-01,4.03956548e+00
46,9.20000000e-01,4.03993245e+00
47,9.40000000e-01,4.04030752e+00
48,9.60000000e-01,4.04069069e+00
49,9.80000000e-01,4.04108195e+00
50,1.00000000e+00,4.04148132e+00
51,1.02000000e+00,4.04188879e+00
52,1.04000000e+00,4.04230437e+00
53,1.06000000e+00,4.04272805e+00
54,1.08000000e+00,4.04315984e+00
55,1.10000000e+00,4.04359973e+00
56,1.12000000e+00,4.04404773e+00
57,1.14000000e+00,4.04450385e+00
58,1.16000000e+00,4.04496808e+00
59,1.18000000e+00,4.04544042e+00
60,1.20000000e+00,4.04592088e+00
61,1.22000000e+00,4.04640945e+00
62,1.24000000e+00,4.04690615e+00
63,1.26000000e+00,4.04741096e+00
64,1.28000000e+00,4.04792390e+00
65,1.30000000e+00,4.04844496e+00
66,1.32000000e+00,4.04897415e+00
67,1.34000000e+00,4.04951146e+00
68,1.36000000e+00,4.05005691e+00
69,1.38000000e+00,4.05061048e+00
70,1.40000000e+00,4.05117219e+00
71,1.42000000e+00,4.05174204e+00
72,1.44000000e+00,4.05232002e+00
73,1.46000000e+00,4.05290614e+00
74,1.48000000e+00,4.05350040e+00
75,1.50000000e+00,4.05410281e+00
76,1.52000000e+00,4.05471336e+00
77,1.54000000e+00,4.05533206e+00
78,1.56000000e+00,4.05595891e+00
79,1.58000000e+00,4.05659391e+00
80,1.60000000e+00,4.05723706e+00
81,1.62000000e+00,4.05788838e+00
82,1.64000000e+00,4.05854785e+00
83,1.66000000e+00,4.05921548e+00
84,1.68000000e+00,4.05989127e+00
85,1.70000000e+00,4.06057524e+00
86,1.72000000e+00,4.06126736e+00
87,1.74000000e+00,4.06196767e+00
88,1.76000000e+00,4.06267614e+00
