cell,r_center_cm,phi_0
0,1.00000000e-02,4.03142870e+00
1,3.00000000e-02,4.03143410e+00
2,5.00000000e-02,4.03144820e+00
3,7.00000000e-02,4.03147144e+00
4,9.00000000e-02,4.03150243e+00
5,1.10000000e-01,4.03154172e+00
6,1.30000000e-01,4.03158890e+00
7,1.50000000e-01,4.03164431e+00
8,1.70000000e-01,4.03170769e+00
9,1.90000000e-01,4.03177928e+00
10,2.10000000e-01,4.03185890e+00
11,2.30000000e-01,4.03194670e+00
12,2.50000000e-01,4.03204255e+00
13,2.70000000e-01,4.03214655e+00
14,2.90000000e-01,4.03225862e+00
15,3.10000000e-01,4.03237882e+00
16,3.30000000e-01,4.03250710e+00
17,3.50000000e-01,4.03264349e+00
18,3.70000000e-01,4.03278798e+00
19,3.90000000e-01,4.03294056e+00
20,4.10000000e-01,4.03310123e+00
21,4.30000000e-01,4.03326999e+00
22,4.50000000e-01,4.03344685e+00
23,4.70000000e-01,4.03363179e+00
24,4.90000000e-01,4.03382483e+00
25,5.10000000e-01,4.03402595e+00
26,5.30000000e-01,4.03423516e+00
27,5.50000000e-01,4.03445245e+00
28,5.70000000e-01,4.03467783e+00
29,5.90000000e-01,4.03491131e+00
30,6.10000000e-01,4.03515286e+00
31,6.30000000e-01,4.03540251e+00
32,6.50000000e-01,4.03566024e+00
33,6.70000000e-01,4.03592606e+00
34,6.90000000e-01,4.03619997e+00
35,7.10000000e-01,4.03648196e+00
36,7.30000000e-01,4.03677205e+00
37,7.50000000e-01,4.03707022e+00
38,7.70000000e-01,4.03737649e+00
39,7.90000000e-01,4.03769085e+00
40,8.10000000e-01,4.03801330e+00
41,8.30000000e-01,4.03834384e+00
42,8.50000000e-01,4.03868247e+00
43,8.70000000e-01,4.03902920e+00
44,8.90000000e-01,4.03938402e+00
45,9.10000000e-01,4.03974694e+00
46,9.30000000e-01,4.04011796e+00
47,9.50000000e-01,4.04049708e+00
48,9.70000000e-01,4.04088430e+00
49,9.90000000e-01,4.04127961e+00
50,1.01000000e+00,4.04168303e+00
51,1.03000000e+00,4.04209455e+00
52,1.05000000e+00,4.04251418e+00
53,1.07000000e+00,4.04294191e+00
54,1.09000000e+00,4.04337776e+00
55,1.11000000e+00,4.04382170e+00
56,1.13000000e+00,4.04427376e+00
57,1.15000000e+00,4.04473394e+00
58,1.17000000e+00,4.04520222e+00
59,1.19000000e+00,4.04567862e+00
60,1.21000000e+00,4.04616314e+00
61,1.23000000e+00,4.04665577e+00
62,1.25000000e+00,4.04715653e+00
63,1.27000000e+00,4.04766540e+00
64,1.29000000e+00,4.04818240e+00
65,1.31000000e+00,4.04870752e+00
66,1.33000000e+00,4.04924077e+00
67,1.35000000e+00,4.04978215e+00
68,1.37000000e+00,4.05033166e+00
69,1.39000000e+00,4.05088931e+00
70,1.41000000e+00,4.05145508e+00
71,1.43000000e+00,4.05202899e+00
72,1.45000000e+00,4.05261105e+00
73,1.47000000e+00,4.05320124e+00
74,1.49000000e+00,4.05379957e+00
75,1.51000000e+00,4.05440605e+00
76,1.53000000e+00,4.05502067e+00
77,1.55000000e+00,4.05564345e+00
78,1.57000000e+00,4.05627437e+00
79,1.59000000e+00,4.05691345e+00
80,1.61000000e+00,4.05756068e+00
81,1.63000000e+00,4.05821607e+00
82,1.65000000e+00,4.05887962e+00
83,1.67000000e+00,4.05955134e+00
84,1.69000000e+00,4.06023121e+00
85,1.71000000e+00,4.06091926e+00
86,1.73000000e+00,4.06161547e+00
87,1.75000000e+00,4.06231986e+00
88,1.77000000e+00,4.06303242e+00
89,1.79000000e+00,4.06375316e+00
90,1.81000000e+00,4.06448207e+00
