cell,r_center_cm,psi_start
254,5.07000000e+00,2.15835768e+00
255,5.09000000e+00,2.15946691e+00
256,5.11000000e+00,2.16058069e+00
257,5.13000000e+00,2.16169903e+00
258,5.15000000e+00,2.16282192e+00
259,5.17000000e+00,2.16394938e+00
260,5.19000000e+00,2.16508141e+00
261,5.21000000e+00,2.16621801e+00
262,5.23000000e+00,2.16735918e+00
263,5.25000000e+00,2.16850494e+00
264,5.27000000e+00,2.16965527e+00
265,5.29000000e+00,2.17081020e+00
266,5.31000000e+00,2.17196972e+00
267,5.33000000e+00,2.17313383e+00
268,5.35000000e+00,2.17430254e+00
269,5.37000000e+00,2.17547586e+00
270,5.39000000e+00,2.17665379e+00
271,5.41000000e+00,2.17783634e+00
272,5.43000000e+00,2.17902350e+00
273,5.45000000e+00,2.18021528e+00
274,5.47000000e+00,2.18141169e+00
275,5.49000000e+00,2.18261273e+00
276,5.51000000e+00,2.18381840e+00
277,5.53000000e+00,2.18502871e+00
278,5.55000000e+00,2.18624367e+00
279,5.57000000e+00,2.18746328e+00
280,5.59000000e+00,2.18868754e+00
281,5.61000000e+00,2.18991645e+00
282,5.63000000e+00,2.19115003e+00
283,5.65000000e+00,2.19238827e+00
284,5.67000000e+00,2.19363119e+00
285,5.69000000e+00,2.19487878e+00
286,5.71000000e+00,2.19613105e+00
287,5.73000000e+00,2.19738800e+00
288,5.75000000e+00,2.19864964e+00
289,5.77000000e+00,2.19991598e+00
290,5.79000000e+00,2.20118701e+00
291,5.81000000e+00,2.20246275e+00
292,5.83000000e+00,2.20374319e+00
293,5.85000000e+00,2.20502835e+00
294,5.87000000e+00,2.20631822e+00
295,5.89000000e+00,2.20761282e+00
296,5.91000000e+00,2.20891214e+00
297,5.93000000e+00,2.21021619e+00
298,5.95000000e+00,2.21152498e+00
299,5.97000000e+00,2.21283851e+00
300,5.99000000e+00,2.21415678e+00
301,6.01000000e+00,2.21547981e+00
302,6.03000000e+00,2.21680759e+00
303,6.05000000e+00,2.21814013e+00
304,6.07000000e+00,2.21947743e+00
305,6.09000000e+00,2.22081951e+00
306,6.11000000e+00,2.22216636e+00
307,6.13000000e+00,2.22351799e+00
308,6.15000000e+00,2.22487440e+00
309,6.17000000e+00,2.22623560e+00
310,6.19000000e+00,2.22760160e+00
311,6.21000000e+00,2.22897240e+00
312,6.23000000e+00,2.23034801e+00
313,6.25000000e+00,2.23172843e+00
314,6.27000000e+00,2.23311366e+00
315,6.29000000e+00,2.23450371e+00
316,6.31000000e+00,2.23589859e+00
317,6.33000000e+00,2.23729830e+00
318,6.35000000e+00,2.23870285e+00
319,6.37000000e+00,2.24011225e+00
320,6.39000000e+00,2.24152649e+00
321,6.41000000e+00,2.24294558e+00
322,6.43000000e+00,2.24436954e+00
323,6.45000000e+00,2.24579836e+00
324,6.47000000e+00,2.24723205e+00
325,6.49000000e+00,2.24867061e+00
326,6.51000000e+00,2.25011407e+00
327,6.53000000e+00,2.25156241e+00
328,6.55000000e+00,2.25301564e+00
329,6.57000000e+00,2.25447378e+00
330,6.59000000e+00,2.25593683e+00
331,6.61000000e+00,2.25740479e+00
332,6.63000000e+00,2.25887767e+00
333,6.65000000e+00,2.26035548e+00
334,6.67000000e+00,2.26183823e+00
335,6.69000000e+00,2.26332592e+00
336,6.71000000e+00,2.26481856e+00
337,6.73000000e+00,2.26631616e+00
338,6.75000000e+00,2.26781872e+00
339,6.77000000e+00,2.26932626e+00
340,6.79000000e+00,2.27083879e+00
341,6.81000000e+00,2.27235630e+00
342,6.83000000e+00,2.27387882e+00
343,6.85000000e+00,2.27540635e+00
344,6.87000000e+00,2.27693890e+00
345,6.89000000e+00,2.27847649e+00
346,6.91000000e+00,2.28001912e+00
347,6.93000000e+00,2.28156680e+00
348,6.95000000e+00,2.28311956e+00
349,6.97000000e+00,2.28467740e+00
350,6.99000000e+00,2.28624034e+00
351,7.01000000e+00,2.28780839e+00
352,7.03000000e+00,2.28938157e+00
353,7.05000000e+00,2.29095990e+00
354,7.07000000e+00,2.29254339e+00
355,7.09000000e+00,2.29413207e+00
356,7.11000000e+00,2.29572596e+00
357,7.13000000e+00,2.29732509e+00
358,7.15000000e+00,2.29892947e+00
359,7.17000000e+00,2.30053914e+00
360,7.19000000e+00,2.30215413e+00
361,7.21000000e+00,2.30377447e+00
362,7.23000000e+00,2.30540019e+00
363,7.25000000e+00,2.30703135e+00
364,7.27000000e+00,2.30866797e+00
365,7.29000000e+00,2.31031010e+00
366,7.31000000e+00,2.31195781e+00
367,7.33000000e+00,2.31361113e+00
368,7.35000000e+00,2.31527014e+00
369,7.37000000e+00,2.31693491e+00
370,7.39000000e+00,2.31860550e+00
371,7.41000000e+00,2.32028199e+00
372,7.43000000e+00,2.32196449e+00
373,7.45000000e+00,2.32365308e+00
374,7.47000000e+00,2.32534787e+00
375,7.49000000e+00,2.32704899e+00
376,7.51000000e+00,2.32875656e+00
377,7.53000000e+00,2.33047074e+00
378,7.55000000e+00,2.33219167e+00
379,7.57000000e+00,2.33391954e+00
380,7.59000000e+00,2.33565454e+00
381,7.61000000e+00,2.33739689e+00
382,7.63000000e+00,2.33914682e+00
383,7.65000000e+00,2.34090459e+00
384,7.67000000e+00,2.34267050e+00
385,7.69000000e+00,2.34444486e+00
386,7.71000000e+00,2.34622803e+00
387,7.73000000e+00,2.34802040e+00
388,7.75000000e+00,2.34982240e+00
389,7.77000000e+00,2.35163451e+00
390,7.79000000e+00,2.35345724e+00
391,7.81000000e+00,2.35529120e+00
392,7.83000000e+00,2.35713701e+00
393,7.85000000e+00,2.35899540e+00
394,7.87000000e+00,2.36086716e+00
395,7.89000000e+00,2.36275315e+00
396,7.91000000e+00,2.36465434e+00
397,7.93000000e+00,2.36657180e+00
398,7.95000000e+00,2.36850671e+00
399,7.97000000e+00,2.37046037e+00
400,7.99000000e+00,2.37243424e+00
401,8.01000000e+00,2.37442991e+00
402,8.03000000e+00,2.37644916e+00
403,8.05000000e+00,2.37849393e+00
404,8.07000000e+00,2.38056640e+00
405,8.09000000e+00,2.38266897e+00
406,8.11000000e+00,2.38480428e+00
407,8.13000000e+00,2.38697529e+00
408,8.15000000e+00,2.38918523e+00
409,8.17000000e+00,2.39143770e+00
410,8.19000000e+00,2.39373668e+00
411,8.21000000e+00,2.39608658e+00
412,8.23000000e+00,2.39849226e+00
413,8.25000000e+00,2.40095914e+00
414,8.27000000e+00,2.40349316e+00
415,8.29000000e+00,2.40610095e+00
416,8.31000000e+00,2.40878982e+00
417,8.33000000e+00,2.41156784e+00
418,8.35000000e+00,2.41444399e+00
419,8.37000000e+00,2.41742818e+00
420,8.39000000e+00,2.42053137e+00
421,8.41000000e+00,2.42376570e+00
422,8.43000000e+00,2.42714462e+00
423,8.45000000e+00,2.43068300e+00
424,8.47000000e+00,2.43439730e+00
425,8.49000000e+00,2.43830574e+00
426,8.51000000e+00,2.44242847e+00
427,8.53000000e+00,2.44678784e+00
428,8.55000000e+00,2.45140852e+00
429,8.57000000e+00,2.45631787e+00
430,8.59000000e+00,2.46154615e+00
431,8.61000000e+00,2.46712685e+00
432,8.63000000e+00,2.47309705e+00
433,8.65000000e+00,2.47949779e+00
434,8.67000000e+00,2.48637447e+00
435,8.69000000e+00,2.49377738e+00
436,8.71000000e+00,2.50176217e+00
437,8.73000000e+00,2.51039042e+00
438,8.75000000e+00,2.51973033e+00
439,8.77000000e+00,2.52985735e+00
440,8.79000000e+00,2.54085503e+00
441,8.81000000e+00,2.55281583e+00
442,8.83000000e+00,2.56584211e+00
443,8.85000000e+00,2.58004717e+00
444,8.87000000e+00,2.59555643e+00
445,8.89000000e+00,2.61250872e+00
446,8.91000000e+00,2.63105772e+00
447,8.93000000e+00,2.65137355e+00
448,8.95000000e+00,2.67364452e+00
449,8.97000000e+00,2.69807910e+00
450,8.99000000e+00,2.72490804e+00
451,9.01000000e+00,2.75438678e+00
452,9.03000000e+00,2.78679811e+00
453,9.05000000e+00,2.82245503e+00
454,9.07000000e+00,2.86170406e+00
455,9.09000000e+00,2.90492876e+00
456,9.11000000e+00,2.95255373e+00
457,9.13000000e+00,3.00504899e+00
458,9.15000000e+00,3.06293481e+00
459,9.17000000e+00,3.12678711e+00
460,9.19000000e+00,3.19724339e+00
461,9.21000000e+00,3.27500931e+00
462,9.23000000e+00,3.36086597e+00
463,9.25000000e+00,3.45567795e+00
464,9.27000000e+00,3.56040224e+00
465,9.29000000e+00,3.67609811e+00
466,9.31000000e+00,3.80393799e+00
467,9.33000000e+00,3.94521960e+00
468,9.35000000e+00,4.10137927e+00
469,9.37000000e+00,4.27400683e+00
470,9.39000000e+00,4.46486191e+00
471,9.41000000e+00,4.67589223e+00
472,9.43000000e+00,4.90925361e+00
473,9.45000000e+00,5.16733242e+00
474,9.47000000e+00,5.45277027e+00
475,9.49000000e+00,5.76849154e+00
476,9.51000000e+00,6.11773392e+00
477,9.53000000e+00,6.50408238e+00
478,9.55000000e+00,6.93150692e+00
479,9.57000000e+00,7.40440472e+00
480,9.59000000e+00,7.92764698e+00
481,9.61000000e+00,8.50663130e+00
482,9.63000000e+00,9.14734013e+00
483,9.65000000e+00,9.85640599e+00
484,9.67000000e+00,1.06411844e+01
485,9.69000000e+00,1.15098352e+01
486,9.71000000e+00,1.24714132e+01
487,9.73000000e+00,1.35359683e+01
488,9.75000000e+00,1.47146567e+01
489,9.77000000e+00,1.60198612e+01
490,9.79000000e+00,1.74653212e+01
491,9.81000000e+00,1.90662679e+01
492,9.83000000e+00,2.08395606e+01
493,9.85000000e+00,2.28038126e+01
494,9.87000000e+00,2.49794942e+01
495,9.89000000e+00,2.73889928e+01
496,9.91000000e+00,3.00566273e+01
497,9.93000000e+00,3.30087069e+01
498,9.95000000e+00,3.62741462e+01
499,9.97000000e+00,3.98878655e+01
500,9.99000000e+00,4.39059151e+01
