cell,r_center_cm,psi_start
0,0.00000000e+00,2.01570707e+00
1,1.00000000e-02,2.01572795e+00
2,3.00000000e-02,2.01577176e+00
3,5.00000000e-02,2.01581967e+00
4,7.00000000e-02,2.01587164e+00
5,9.00000000e-02,2.01592765e+00
6,1.10000000e-01,2.01598772e+00
7,1.30000000e-01,2.01605183e+00
8,1.50000000e-01,2.01611999e+00
9,1.70000000e-01,2.01619219e+00
10,1.90000000e-01,2.01626845e+00
11,2.10000000e-01,2.01634876e+00
12,2.30000000e-01,2.01643311e+00
13,2.50000000e-01,2.01652151e+00
14,2.70000000e-01,2.01661396e+00
15,2.90000000e-01,2.01671046e+00
16,3.10000000e-01,2.01681100e+00
17,3.30000000e-01,2.01691558e+00
18,3.50000000e-01,2.01702422e+00
19,3.70000000e-01,2.01713689e+00
20,3.90000000e-01,2.01725362e+00
21,4.10000000e-01,2.01737438e+00
22,4.30000000e-01,2.01749920e+00
23,4.50000000e-01,2.01762805e+00
24,4.70000000e-01,2.01776095e+00
25,4.90000000e-01,2.01789790e+00
26,5.10000000e-01,2.01803889e+00
27,5.30000000e-01,2.01818392e+00
28,5.50000000e-01,2.01833301e+00
29,5.70000000e-01,2.01848613e+00
30,5.90000000e-01,2.01864331e+00
31,6.10000000e-01,2.01880452e+00
32,6.30000000e-01,2.01896979e+00
33,6.50000000e-01,2.01913910e+00
34,6.70000000e-01,2.01931246e+00
35,6.90000000e-01,2.01948987e+00
36,7.10000000e-01,2.01967133e+00
37,7.30000000e-01,2.01985683e+00
38,7.50000000e-01,2.02004639e+00
39,7.70000000e-01,2.02023999e+00
40,7.90000000e-01,2.02043765e+00
41,8.10000000e-01,2.02063936e+00
42,8.30000000e-01,2.02084511e+00
43,8.50000000e-01,2.02105492e+00
44,8.70000000e-01,2.02126879e+00
45,8.90000000e-01,2.02148671e+00
46,9.10000000e-01,2.02170868e+00
47,9.30000000e-01,2.02193471e+00
48,9.50000000e-01,2.02216479e+00
49,9.70000000e-01,2.02239893e+00
50,9.90000000e-01,2.02263713e+00
51,1.01000000e+00,2.02287938e+00
52,1.03000000e+00,2.02312570e+00
53,1.05000000e+00,2.02337607e+00
54,1.07000000e+00,2.02363051e+00
55,1.09000000e+00,2.02388901e+00
56,1.11000000e+00,2.02415156e+00
57,1.13000000e+00,2.02441819e+00
58,1.15000000e+00,2.02468888e+00
59,1.17000000e+00,2.02496363e+00
60,1.19000000e+00,2.02524245e+00
61,1.21000000e+00,2.02552533e+00
62,1.23000000e+00,2.02581229e+00
63,1.25000000e+00,2.02610331e+00
64,1.27000000e+00,2.02639840e+00
65,1.29000000e+00,2.02669757e+00
66,1.31000000e+00,2.02700080e+00
67,1.33000000e+00,2.02730811e+00
68,1.35000000e+00,2.02761950e+00
69,1.37000000e+00,2.02793496e+00
70,1.39000000e+00,2.02825449e+00
71,1.41000000e+00,2.02857811e+00
72,1.43000000e+00,2.02890580e+00
73,1.45000000e+00,2.02923757e+00
74,1.47000000e+00,2.02957343e+00
75,1.49000000e+00,2.02991336e+00
76,1.51000000e+00,2.03025738e+00
77,1.53000000e+00,2.03060548e+00
78,1.55000000e+00,2.03095767e+00
79,1.57000000e+00,2.03131395e+00
80,1.59000000e+00,2.03167432e+00
81,1.61000000e+00,2.03203877e+00
82,1.63000000e+00,2.03240732e+00
83,1.65000000e+00,2.03277996e+00
84,1.67000000e+00,2.03315669e+00
85,1.69000000e+00,2.03353752e+00
86,1.71000000e+00,2.03392244e+00
87,1.73000000e+00,2.03431147e+00
88,1.75000000e+00,2.03470459e+00
89,1.77000000e+00,2.03510181e+00
90,1.79000000e+00,2.03550313e+00
91,1.81000000e+00,2.03590856e+00
92,1.83000000e+00,2.03631809e+00
93,1.85000000e+00,2.03673173e+00
94,1.87000000e+00,2.03714947e+00
95,1.89000000e+00,2.03757133e+00
96,1.91000000e+00,2.03799729e+00
97,1.93000000e+00,2.03842737e+00
98,1.95000000e+00,2.03886156e+00
99,1.97000000e+00,2.03929987e+00
100,1.99000000e+00,2.03974230e+00
101,2.01000000e+00,2.04018884e+00
102,2.03000000e+00,2.04063950e+00
103,2.05000000e+00,2.04109429e+00
104,2.07000000e+00,2.04155320e+00
105,2.09000000e+00,2.04201623e+00
106,2.11000000e+00,2.04248339e+00
107,2.13000000e+00,2.04295468e+00
108,2.15000000e+00,2.04343010e+00
109,2.17000000e+00,2.04390965e+00
110,2.19000000e+00,2.04439333e+00
111,2.21000000e+00,2.04488115e+00
112,2.23000000e+00,2.04537310e+00
113,2.25000000e+00,2.04586920e+00
114,2.27000000e+00,2.04636943e+00
115,2.29000000e+00,2.04687381e+00
116,2.31000000e+00,2.04738233e+00
117,2.33000000e+00,2.04789500e+00
118,2.35000000e+00,2.04841182e+00
119,2.37000000e+00,2.04893278e+00
120,2.39000000e+00,2.04945790e+00
121,2.41000000e+00,2.04998717e+00
122,2.43000000e+00,2.05052059e+00
123,2.45000000e+00,2.05105818e+00
124,2.47000000e+00,2.05159992e+00
125,2.49000000e+00,2.05214582e+00
126,2.51000000e+00,2.05269589e+00
127,2.53000000e+00,2.05325012e+00
128,2.55000000e+00,2.05380852e+00
129,2.57000000e+00,2.05437108e+00
130,2.59000000e+00,2.05493782e+00
131,2.61000000e+00,2.05550873e+00
132,2.63000000e+00,2.05608382e+00
133,2.65000000e+00,2.05666308e+00
134,2.67000000e+00,2.05724653e+00
135,2.69000000e+00,2.05783415e+00
136,2.71000000e+00,2.05842596e+00
137,2.73000000e+00,2.05902195e+00
138,2.75000000e+00,2.05962213e+00
139,2.77000000e+00,2.06022651e+00
140,2.79000000e+00,2.06083507e+00
141,2.81000000e+00,2.06144783e+00
142,2.83000000e+00,2.06206478e+00
143,2.85000000e+00,2.06268594e+00
144,2.87000000e+00,2.06331129e+00
145,2.89000000e+00,2.06394085e+00
146,2.91000000e+00,2.06457461e+00
147,2.93000000e+00,2.06521259e+00
148,2.95000000e+00,2.06585477e+00
149,2.97000000e+00,2.06650116e+00
150,2.99000000e+00,2.06715177e+00
151,3.01000000e+00,2.06780660e+00
152,3.03000000e+00,2.06846564e+00
153,3.05000000e+00,2.06912891e+00
154,3.07000000e+00,2.06979640e+00
155,3.09000000e+00,2.07046812e+00
156,3.11000000e+00,2.07114407e+00
157,3.13000000e+00,2.07182424e+00
158,3.15000000e+00,2.07250866e+00
159,3.17000000e+00,2.07319731e+00
160,3.19000000e+00,2.07389019e+00
161,3.21000000e+00,2.07458732e+00
162,3.23000000e+00,2.07528870e+00
163,3.25000000e+00,2.07599432e+00
164,3.27000000e+00,2.07670419e+00
165,3.29000000e+00,2.07741831e+00
166,3.31000000e+00,2.07813668e+00
167,3.33000000e+00,2.07885931e+00
168,3.35000000e+00,2.07958620e+00
169,3.37000000e+00,2.08031736e+00
170,3.39000000e+00,2.08105277e+00
171,3.41000000e+00,2.08179246e+00
172,3.43000000e+00,2.08253641e+00
173,3.45000000e+00,2.08328464e+00
174,3.47000000e+00,2.08403714e+00
175,3.49000000e+00,2.08479393e+00
176,3.51000000e+00,2.08555499e+00
177,3.53000000e+00,2.08632033e+00
178,3.55000000e+00,2.08708996e+00
179,3.57000000e+00,2.08786388e+00
180,3.59000000e+00,2.08864210e+00
181,3.61000000e+00,2.08942460e+00
182,3.63000000e+00,2.09021141e+00
183,3.65000000e+00,2.09100251e+00
184,3.67000000e+00,2.09179792e+00
185,3.69000000e+00,2.09259764e+00
186,3.71000000e+00,2.09340166e+00
187,3.73000000e+00,2.09420999e+00
188,3.75000000e+00,2.09502264e+00
189,3.77000000e+00,2.09583961e+00
190,3.79000000e+00,2.09666090e+00
191,3.81000000e+00,2.09748651e+00
192,3.83000000e+00,2.09831645e+00
193,3.85000000e+00,2.09915072e+00
194,3.87000000e+00,2.09998932e+00
195,3.89000000e+00,2.10083225e+00
196,3.91000000e+00,2.10167953e+00
197,3.93000000e+00,2.10253115e+00
198,3.95000000e+00,2.10338711e+00
199,3.97000000e+00,2.10424742e+00
200,3.99000000e+00,2.10511208e+00
201,4.01000000e+00,2.10598109e+00
202,4.03000000e+00,2.10685447e+00
203,4.05000000e+00,2.10773220e+00
204,4.07000000e+00,2.10861430e+00
205,4.09000000e+00,2.10950076e+00
206,4.11000000e+00,2.11039159e+00
207,4.13000000e+00,2.11128680e+00
208,4.15000000e+00,2.11218638e+00
209,4.17000000e+00,2.11309035e+00
210,4.19000000e+00,2.11399869e+00
211,4.21000000e+00,2.11491143e+00
212,4.23000000e+00,2.11582855e+00
213,4.25000000e+00,2.11675006e+00
214,4.27000000e+00,2.11767598e+00
215,4.29000000e+00,2.11860629e+00
216,4.31000000e+00,2.11954100e+00
217,4.33000000e+00,2.12048012e+00
218,4.35000000e+00,2.12142365e+00
219,4.37000000e+00,2.12237160e+00
220,4.39000000e+00,2.12332396e+00
221,4.41000000e+00,2.12428074e+00
222,4.43000000e+00,2.12524194e+00
223,4.45000000e+00,2.12620757e+00
224,4.47000000e+00,2.12717763e+00
225,4.49000000e+00,2.12815213e+00
226,4.51000000e+00,2.12913106e+00
227,4.53000000e+00,2.13011443e+00
228,4.55000000e+00,2.13110225e+00
229,4.57000000e+00,2.13209452e+00
230,4.59000000e+00,2.13309124e+00
231,4.61000000e+00,2.13409241e+00
232,4.63000000e+00,2.13509805e+00
233,4.65000000e+00,2.13610814e+00
234,4.67000000e+00,2.13712271e+00
235,4.69000000e+00,2.13814174e+00
236,4.71000000e+00,2.13916524e+00
237,4.73000000e+00,2.14019323e+00
238,4.75000000e+00,2.14122569e+00
239,4.77000000e+00,2.14226264e+00
240,4.79000000e+00,2.14330408e+00
241,4.81000000e+00,2.14435001e+00
242,4.83000000e+00,2.14540044e+00
243,4.85000000e+00,2.14645537e+00
244,4.87000000e+00,2.14751480e+00
245,4.89000000e+00,2.14857874e+00
246,4.91000000e+00,2.14964719e+00
247,4.93000000e+00,2.15072015e+00
248,4.95000000e+00,2.15179764e+00
249,4.97000000e+00,2.15287965e+00
250,4.99000000e+00,2.15396618e+00
251,5.01000000e+00,2.15505725e+00
252,5.03000000e+00,2.15615285e+00
253,5.05000000e+00,2.15725299e+00
