cell,r_center_cm,direction,mu_m,psi_ang_in
0,5.00000000e-01,0,-9.89400935e-01,1.56601603e+00
1,1.50000000e+00,0,-9.89400935e-01,1.57479262e+00
2,2.50000000e+00,0,-9.89400935e-01,1.59156745e+00
3,3.50000000e+00,0,-9.89400935e-01,1.61650035e+00
4,4.50000000e+00,0,-9.89400935e-01,1.65001043e+00
5,5.50000000e+00,0,-9.89400935e-01,1.69194629e+00
6,6.50000000e+00,0,-9.89400935e-01,1.74331628e+00
7,7.50000000e+00,0,-9.89400935e-01,1.80345211e+00
8,8.50000000e+00,0,-9.89400935e-01,1.87502387e+00
9,9.50000000e+00,0,-9.89400935e-01,1.95446691e+00
0,5.00000000e-01,1,-9.44575023e-01,1.56658808e+00
1,1.50000000e+00,1,-9.44575023e-01,1.57504394e+00
2,2.50000000e+00,1,-9.44575023e-01,1.59168365e+00
3,3.50000000e+00,1,-9.44575023e-01,1.61652067e+00
4,4.50000000e+00,1,-9.44575023e-01,1.64995648e+00
5,5.50000000e+00,1,-9.44575023e-01,1.69182473e+00
6,6.50000000e+00,1,-9.44575023e-01,1.74312513e+00
7,7.50000000e+00,1,-9.44575023e-01,1.80321964e+00
8,8.50000000e+00,1,-9.44575023e-01,1.87466089e+00
9,9.50000000e+00,1,-9.44575023e-01,1.95422399e+00
0,5.00000000e-01,2,-8.65631202e-01,1.56629630e+00
1,1.50000000e+00,2,-8.65631202e-01,1.57466623e+00
2,2.50000000e+00,2,-8.65631202e-01,1.59123950e+00
3,3.50000000e+00,2,-8.65631202e-01,1.61599767e+00
4,4.50000000e+00,2,-8.65631202e-01,1.64935172e+00
5,5.50000000e+00,2,-8.65631202e-01,1.69112910e+00
6,6.50000000e+00,2,-8.65631202e-01,1.74230409e+00
7,7.50000000e+00,2,-8.65631202e-01,1.80236073e+00
8,8.50000000e+00,2,-8.65631202e-01,1.87346867e+00
9,9.50000000e+00,2,-8.65631202e-01,1.95345349e+00
0,5.00000000e-01,3,-7.55404408e-01,1.56620244e+00
1,1.50000000e+00,3,-7.55404408e-01,1.57452702e+00
2,2.50000000e+00,3,-7.55404408e-01,1.59098339e+00
3,3.50000000e+00,3,-7.55404408e-01,1.61558609e+00
4,4.50000000e+00,3,-7.55404408e-01,1.64877413e+00
5,5.50000000e+00,3,-7.55404408e-01,1.69039499e+00
6,6.50000000e+00,3,-7.55404408e-01,1.74134021e+00
7,7.50000000e+00,3,-7.55404408e-01,1.80133374e+00
8,8.50000000e+00,3,-7.55404408e-01,1.87194022e+00
9,9.50000000e+00,3,-7.55404408e-01,1.95239759e+00
0,5.00000000e-01,4,-6.17876244e-01,1.56608113e+00
1,1.50000000e+00,4,-6.17876244e-01,1.57420964e+00
2,2.50000000e+00,4,-6.17876244e-01,1.59043533e+00
3,3.50000000e+00,4,-6.17876244e-01,1.61482428e+00
4,4.50000000e+00,4,-6.17876244e-01,1.64776962e+00
5,5.50000000e+00,4,-6.17876244e-01,1.68922408e+00
6,6.50000000e+00,4,-6.17876244e-01,1.73981943e+00
7,7.50000000e+00,4,-6.17876244e-01,1.79980893e+00
8,8.50000000e+00,4,-6.17876244e-01,1.86969284e+00
9,9.50000000e+00,4,-6.17876244e-01,1.95076232e+00
0,5.00000000e-01,5,-4.58016778e-01,1.56591958e+00
1,1.50000000e+00,5,-4.58016778e-01,1.57385630e+00
2,2.50000000e+00,5,-4.58016778e-01,1.58984266e+00
3,3.50000000e+00,5,-4.58016778e-01,1.61404375e+00
4,4.50000000e+00,5,-4.58016778e-01,1.64667578e+00
5,5.50000000e+00,5,-4.58016778e-01,1.68800248e+00
6,6.50000000e+00,5,-4.58016778e-01,1.73811851e+00
7,7.50000000e+00,5,-4.58016778e-01,1.79815989e+00
8,8.50000000e+00,5,-4.58016778e-01,1.86720838e+00
9,9.50000000e+00,5,-4.58016778e-01,1.94875442e+00
0,5.00000000e-01,6,-2.81603551e-01,1.56571738e+00
1,1.50000000e+00,6,-2.81603551e-01,1.57348570e+00
2,2.50000000e+00,6,-2.81603551e-01,1.58911876e+00
3,3.50000000e+00,6,-2.81603551e-01,1.61316156e+00
4,4.50000000e+00,6,-2.81603551e-01,1.64531825e+00
