cell,r_center_cm,phi_0
0,2.50000000e-03,1.41225843e+00
1,7.50000000e-03,1.41283516e+00
2,1.25000000e-02,1.41354240e+00
3,1.75000000e-02,1.41431859e+00
4,2.25000000e-02,1.41512460e+00
5,2.75000000e-02,1.41595490e+00
6,3.25000000e-02,1.41680624e+00
7,3.75000000e-02,1.41767734e+00
8,4.25000000e-02,1.41856761e+00
9,4.75000000e-02,1.41947682e+00
10,5.25000000e-02,1.42040487e+00
11,5.75000000e-02,1.42135180e+00
12,6.25000000e-02,1.42231766e+00
13,6.75000000e-02,1.42330259e+00
14,7.25000000e-02,1.42430672e+00
15,7.75000000e-02,1.42533022e+00
16,8.25000000e-02,1.42637326e+00
17,8.75000000e-02,1.42743604e+00
18,9.25000000e-02,1.42851874e+00
19,9.75000000e-02,1.42962157e+00
20,1.02500000e-01,1.43074473e+00
21,1.07500000e-01,1.43188845e+00
22,1.12500000e-01,1.43305295e+00
23,1.17500000e-01,1.43423844e+00
24,1.22500000e-01,1.43544515e+00
25,1.27500000e-01,1.43667332e+00
26,1.32500000e-01,1.43792319e+00
27,1.37500000e-01,1.43919499e+00
28,1.42500000e-01,1.44048896e+00
29,1.47500000e-01,1.44180536e+00
30,1.52500000e-01,1.44314444e+00
31,1.57500000e-01,1.44450644e+00
32,1.62500000e-01,1.44589162e+00
33,1.67500000e-01,1.44730026e+00
34,1.72500000e-01,1.44873260e+00
35,1.77500000e-01,1.45018892e+00
36,1.82500000e-01,1.45166950e+00
37,1.87500000e-01,1.45317460e+00
38,1.92500000e-01,1.45470450e+00
39,1.97500000e-01,1.45625949e+00
40,2.02500000e-01,1.45783984e+00
41,2.07500000e-01,1.45944586e+00
42,2.12500000e-01,1.46107783e+00
43,2.17500000e-01,1.46273605e+00
44,2.22500000e-01,1.46442081e+00
45,2.27500000e-01,1.46613243e+00
46,2.32500000e-01,1.46787121e+00
47,2.37500000e-01,1.46963746e+00
48,2.42500000e-01,1.47143149e+00
49,2.47500000e-01,1.47325364e+00
50,2.52500000e-01,1.47510421e+00
51,2.57500000e-01,1.47698354e+00
52,2.62500000e-01,1.47889195e+00
53,2.67500000e-01,1.48082979e+00
54,2.72500000e-01,1.48279740e+00
55,2.77500000e-01,1.48479511e+00
56,2.82500000e-01,1.48682329e+00
57,2.87500000e-01,1.48888227e+00
58,2.92500000e-01,1.49097242e+00
59,2.97500000e-01,1.49309410e+00
60,3.02500000e-01,1.49524769e+00
61,3.07500000e-01,1.49743354e+00
62,3.12500000e-01,1.49965205e+00
63,3.17500000e-01,1.50190359e+00
64,3.22500000e-01,1.50418855e+00
65,3.27500000e-01,1.50650733e+00
66,3.32500000e-01,1.50886032e+00
67,3.37500000e-01,1.51124793e+00
68,3.42500000e-01,1.51367057e+00
69,3.47500000e-01,1.51612866e+00
70,3.52500000e-01,1.51862261e+00
71,3.57500000e-01,1.52115287e+00
72,3.62500000e-01,1.52371986e+00
73,3.67500000e-01,1.52632403e+00
74,3.72500000e-01,1.52896583e+00
75,3.77500000e-01,1.53164571e+00
76,3.82500000e-01,1.53436414e+00
77,3.87500000e-01,1.53712160e+00
78,3.92500000e-01,1.53991856e+00
79,3.97500000e-01,1.54275551e+00
80,4.02500000e-01,1.54563295e+00
81,4.07500000e-01,1.54855139e+00
82,4.12500000e-01,1.55151134e+00
83,4.17500000e-01,1.55451333e+00
84,4.22500000e-01,1.55755788e+00
85,4.27500000e-01,1.56064556e+00
86,4.32500000e-01,1.56377691e+00
87,4.37500000e-01,1.56695250e+00
88,4.42500000e-01,1.57017291e+00
89,4.47500000e-01,1.57343874e+00
90,4.52500000e-01,1.57675058e+00
91,4.57500000e-01,1.58010906e+00
92,4.62500000e-01,1.58351481e+00
93,4.67500000e-01,1.58696847e+00
94,4.72500000e-01,1.59047070e+00
95,4.77500000e-01,1.59402218e+00
96,4.82500000e-01,1.59762361e+00
97,4.87500000e-01,1.60127569e+00
98,4.92500000e-01,1.60497915e+00
99,4.97500000e-01,1.60873475e+00
100,5.02500000e-01,1.61254325e+00
101,5.07500000e-01,1.61640543e+00
102,5.12500000e-01,1.62032211e+00
103,5.17500000e-01,1.62429411e+00
104,5.22500000e-01,1.62832230e+00
105,5.27500000e-01,1.63240756e+00
106,5.32500000e-01,1.63655078e+00
107,5.37500000e-01,1.64075292e+00
108,5.42500000e-01,1.64501492e+00
109,5.47500000e-01,1.64933779e+00
110,5.52500000e-01,1.65372254e+00
111,5.57500000e-01,1.65817023e+00
112,5.62500000e-01,1.66268196e+00
113,5.67500000e-01,1.66725886e+00
114,5.72500000e-01,1.67190208e+00
115,5.77500000e-01,1.67661285e+00
116,5.82500000e-01,1.68139239e+00
117,5.87500000e-01,1.68624202e+00
118,5.92500000e-01,1.69116305e+00
119,5.97500000e-01,1.69615689e+00
120,6.02500000e-01,1.70122497e+00
121,6.07500000e-01,1.70636877e+00
122,6.12500000e-01,1.71158985e+00
123,6.17500000e-01,1.71688981e+00
124,6.22500000e-01,1.72227032e+00
125,6.27500000e-01,1.72773309e+00
126,6.32500000e-01,1.73327995e+00
127,6.37500000e-01,1.73891274e+00
128,6.42500000e-01,1.74463342e+00
129,6.47500000e-01,1.75044401e+00
130,6.52500000e-01,1.75634661e+00
131,6.57500000e-01,1.76234340e+00
132,6.62500000e-01,1.76843667e+00
133,6.67500000e-01,1.77462878e+00
134,6.72500000e-01,1.78092222e+00
135,6.77500000e-01,1.78731954e+00
136,6.82500000e-01,1.79382344e+00
137,6.87500000e-01,1.80043672e+00
138,6.92500000e-01,1.80716228e+00
139,6.97500000e-01,1.81400317e+00
140,7.02500000e-01,1.82096257e+00
141,7.07500000e-01,1.82804376e+00
142,7.12500000e-01,1.83525022e+00
143,7.17500000e-01,1.84258554e+00
144,7.22500000e-01,1.85005348e+00
145,7.27500000e-01,1.85765797e+00
146,7.32500000e-01,1.86540309e+00
147,7.37500000e-01,1.87329314e+00
148,7.42500000e-01,1.88133257e+00
149,7.47500000e-01,1.88952604e+00
150,7.52500000e-01,1.89787845e+00
151,7.57500000e-01,1.90639486e+00
152,7.62500000e-01,1.91508059e+00
153,7.67500000e-01,1.92394120e+00
154,7.72500000e-01,1.93298250e+00
155,7.77500000e-01,1.94221053e+00
156,7.82500000e-01,1.95163163e+00
157,7.87500000e-01,1.96125241e+00
158,7.92500000e-01,1.97107980e+00
159,7.97500000e-01,1.98112101e+00
160,8.02500000e-01,1.99138360e+00
161,8.07500000e-01,2.00187544e+00
162,8.12500000e-01,2.01260478e+00
163,8.17500000e-01,2.02358024e+00
164,8.22500000e-01,2.03481080e+00
165,8.27500000e-01,2.04630588e+00
166,8.32500000e-01,2.05807530e+00
167,8.37500000e-01,2.07012933e+00
168,8.42500000e-01,2.08247869e+00
169,8.47500000e-01,2.09513460e+00
170,8.52500000e-01,2.10810876e+00
171,8.57500000e-01,2.12141341e+00
172,8.62500000e-01,2.13506132e+00
173,8.67500000e-01,2.14906587e+00
174,8.72500000e-01,2.16344098e+00
175,8.77500000e-01,2.17820124e+00
176,8.82500000e-01,2.19336187e+00
177,8.87500000e-01,2.20893876e+00
178,8.92500000e-01,2.22494852e+00
179,8.97500000e-01,2.24140849e+00
180,9.02500000e-01,2.25833678e+00
181,9.07500000e-01,2.27575230e+00
182,9.12500000e-01,2.29367478e+00
183,9.17500000e-01,2.31212486e+00
184,9.22500000e-01,2.33112405e+00
185,9.27500000e-01,2.35069482e+00
186,9.32500000e-01,2.37086064e+00
187,9.37500000e-01,2.39164597e+00
188,9.42500000e-01,2.41307637e+00
189,9.47500000e-01,2.43517853e+00
190,9.52500000e-01,2.45798025e+00
191,9.57500000e-01,2.48151060e+00
192,9.62500000e-01,2.50579986e+00
193,9.67500000e-01,2.53087966e+00
194,9.72500000e-01,2.55678297e+00
195,9.77500000e-01,2.58354420e+00
196,9.82500000e-01,2.61119924e+00
197,9.87500000e-01,2.63978552e+00
198,9.92500000e-01,2.66934206e+00
199,9.97500000e-01,2.69990958e+00
