cell,r_center_cm,phi_0
0,1.00000000e-02,1.41463485e+00
1,3.00000000e-02,1.41715339e+00
2,5.00000000e-02,1.42039806e+00
3,7.00000000e-02,1.42414615e+00
4,9.00000000e-02,1.42824921e+00
5,1.10000000e-01,1.43269953e+00
6,1.30000000e-01,1.43749751e+00
7,1.50000000e-01,1.44265258e+00
8,1.70000000e-01,1.44817767e+00
9,1.90000000e-01,1.45408784e+00
10,2.10000000e-01,1.46039966e+00
11,2.30000000e-01,1.46713098e+00
12,2.50000000e-01,1.47430081e+00
13,2.70000000e-01,1.48192927e+00
14,2.90000000e-01,1.49003764e+00
15,3.10000000e-01,1.49864839e+00
16,3.30000000e-01,1.50778525e+00
17,3.50000000e-01,1.51747332e+00
18,3.70000000e-01,1.52773922e+00
19,3.90000000e-01,1.53861124e+00
20,4.10000000e-01,1.55011958e+00
21,4.30000000e-01,1.56229662e+00
22,4.50000000e-01,1.57517726e+00
23,4.70000000e-01,1.58879935e+00
24,4.90000000e-01,1.60320424e+00
25,5.10000000e-01,1.61843743e+00
26,5.30000000e-01,1.63454939e+00
27,5.50000000e-01,1.65159656e+00
28,5.70000000e-01,1.66964260e+00
29,5.90000000e-01,1.68875989e+00
30,6.10000000e-01,1.70903135e+00
31,6.30000000e-01,1.73055271e+00
32,6.50000000e-01,1.75343521e+00
33,6.70000000e-01,1.77780883e+00
34,6.90000000e-01,1.80382630e+00
35,7.10000000e-01,1.83166779e+00
36,7.30000000e-01,1.86154658e+00
37,7.50000000e-01,1.89371585e+00
38,7.70000000e-01,1.92847678e+00
39,7.90000000e-01,1.96618812e+00
40,8.10000000e-01,2.00727765e+00
41,8.30000000e-01,2.05225562e+00
42,8.50000000e-01,2.10173078e+00
43,8.70000000e-01,2.15642914e+00
44,8.90000000e-01,2.21721614e+00
45,9.10000000e-01,2.28512267e+00
46,9.30000000e-01,2.36137556e+00
47,9.50000000e-01,2.44743329e+00
48,9.70000000e-01,2.54502773e+00
49,9.90000000e-01,2.65621279e+00
