cell,r_center_cm,direction,mu_m,psi_ang_in
0,1.00000000e-02,0,-8.61136312e-01,7.12845245e-01
1,3.00000000e-02,0,-8.61136312e-01,7.27246159e-01
2,5.00000000e-02,0,-8.61136312e-01,7.41938001e-01
3,7.00000000e-02,0,-8.61136312e-01,7.56926648e-01
4,9.00000000e-02,0,-8.61136312e-01,7.72218095e-01
5,1.10000000e-01,0,-8.61136312e-01,7.87818461e-01
6,1.30000000e-01,0,-8.61136312e-01,8.03733985e-01
7,1.50000000e-01,0,-8.61136312e-01,8.19971035e-01
8,1.70000000e-01,0,-8.61136312e-01,8.36536107e-01
9,1.90000000e-01,0,-8.61136312e-01,8.53435826e-01
10,2.10000000e-01,0,-8.61136312e-01,8.70676954e-01
11,2.30000000e-01,0,-8.61136312e-01,8.88266387e-01
12,2.50000000e-01,0,-8.61136312e-01,9.06211163e-01
13,2.70000000e-01,0,-8.61136312e-01,9.24518459e-01
14,2.90000000e-01,0,-8.61136312e-01,9.43195599e-01
15,3.10000000e-01,0,-8.61136312e-01,9.62250056e-01
16,3.30000000e-01,0,-8.61136312e-01,9.81689451e-01
17,3.50000000e-01,0,-8.61136312e-01,1.00152156e+00
18,3.70000000e-01,0,-8.61136312e-01,1.02175432e+00
19,3.90000000e-01,0,-8.61136312e-01,1.04239582e+00
20,4.10000000e-01,0,-8.61136312e-01,1.06345432e+00
21,4.30000000e-01,0,-8.61136312e-01,1.08493825e+00
22,4.50000000e-01,0,-8.61136312e-01,1.10685619e+00
23,4.70000000e-01,0,-8.61136312e-01,1.12921692e+00
24,4.90000000e-01,0,-8.61136312e-01,1.15202939e+00
25,5.10000000e-01,0,-8.61136312e-01,1.17530271e+00
26,5.30000000e-01,0,-8.61136312e-01,1.19904620e+00
27,5.50000000e-01,0,-8.61136312e-01,1.22326935e+00
28,5.70000000e-01,0,-8.61136312e-01,1.24798186e+00
29,5.90000000e-01,0,-8.61136312e-01,1.27319362e+00
30,6.10000000e-01,0,-8.61136312e-01,1.29891470e+00
31,6.30000000e-01,0,-8.61136312e-01,1.32515540e+00
32,6.50000000e-01,0,-8.61136312e-01,1.35192622e+00
33,6.70000000e-01,0,-8.61136312e-01,1.37923786e+00
34,6.90000000e-01,0,-8.61136312e-01,1.40710125e+00
35,7.10000000e-01,0,-8.61136312e-01,1.43552754e+00
36,7.30000000e-01,0,-8.61136312e-01,1.46452810e+00
37,7.50000000e-01,0,-8.61136312e-01,1.49411452e+00
38,7.70000000e-01,0,-8.61136312e-01,1.52429865e+00
39,7.90000000e-01,0,-8.61136312e-01,1.55509257e+00
40,8.10000000e-01,0,-8.61136312e-01,1.58650858e+00
41,8.30000000e-01,0,-8.61136312e-01,1.61855926e+00
42,8.50000000e-01,0,-8.61136312e-01,1.65125742e+00
43,8.70000000e-01,0,-8.61136312e-01,1.68461616e+00
44,8.90000000e-01,0,-8.61136312e-01,1.71864881e+00
45,9.10000000e-01,0,-8.61136312e-01,1.75336899e+00
46,9.30000000e-01,0,-8.61136312e-01,1.78879058e+00
47,9.50000000e-01,0,-8.61136312e-01,1.82492777e+00
48,9.70000000e-01,0,-8.61136312e-01,1.86179499e+00
49,9.90000000e-01,0,-8.61136312e-01,1.89940701e+00
0,1.00000000e-02,1,-3.39981044e-01,7.13720523e-01
1,3.00000000e-02,1,-3.39981044e-01,7.23695724e-01
2,5.00000000e-02,1,-3.39981044e-01,7.35047469e-01
3,7.00000000e-02,1,-3.39981044e-01,7.46789071e-01
4,9.00000000e-02,1,-3.39981044e-01,7.58808587e-01
5,1.10000000e-01,1,-3.39981044e-01,7.71083155e-01
6,1.30000000e-01,1,-3.39981044e-01,7.83611037e-01
7,1.50000000e-01,1,-3.39981044e-01,7.96397993e-01
8,1.70000000e-01,1,-3.39981044e-01,8.09453324e-01
9,1.90000000e-01,1,-3.39981044e-01,8.22788432e-01
10,2.10000000e-01,1,-3.39981044e-01,8.36416242e-01
11,2.30000000e-01,1,-3.39981044e-01,8.50350932e-01
12,2.50000000e-01,1,-3.39981044e-01,8.64607833e-01
13,2.70000000e-01,1,-3.39981044e-01,8.79203377e-01
14,2.90000000e-01,1,-3.39981044e-01,8.94155105e-01
15,3.10000000e-01,1,-3.39981044e-01,9.09481678e-01
16,3.30000000e-01,1,-3.39981044e-01,9.25202915e-01
17,3.50000000e-01,1,-3.39981044e-01,9.41339833e-01
18,3.70000000e-01,1,-3.39981044e-01,9.57914696e-01
19,3.90000000e-01,1,-3.39981044e-01,9.74951069e-01
20,4.10000000e-01,1,-3.39981044e-01,9.92473877e-01
21,4.30000000e-01,1,-3.39981044e-01,1.01050947e+00
22,4.50000000e-01,1,-3.39981044e-01,1.02908567e+00
23,4.70000000e-01,1,-3.39981044e-01,1.04823188e+00
24,4.90000000e-01,1,-3.39981044e-01,1.06797913e+00
25,5.10000000e-01,1,-3.39981044e-01,1.08836013e+00
26,5.30000000e-01,1,-3.39981044e-01,1.10940941e+00
27,5.50000000e-01,1,-3.39981044e-01,1.13116336e+00
28,5.70000000e-01,1,-3.39981044e-01,1.15366032e+00
29,5.90000000e-01,1,-3.39981044e-01,1.17694068e+00
30,6.10000000e-01,1,-3.39981044e-01,1.20104698e+00
31,6.30000000e-01,1,-3.39981044e-01,1.22602401e+00
32,6.50000000e-01,1,-3.39981044e-01,1.25191890e+00
33,6.70000000e-01,1,-3.39981044e-01,1.27878122e+00
34,6.90000000e-01,1,-3.39981044e-01,1.30666312e+00
35,7.10000000e-01,1,-3.39981044e-01,1.33561943e+00
36,7.30000000e-01,1,-3.39981044e-01,1.36570779e+00
37,7.50000000e-01,1,-3.39981044e-01,1.39698876e+00
38,7.70000000e-01,1,-3.39981044e-01,1.42952596e+00
39,7.90000000e-01,1,-3.39981044e-01,1.46338621e+00
40,8.10000000e-01,1,-3.39981044e-01,1.49863968e+00
41,8.30000000e-01,1,-3.39981044e-01,1.53536002e+00
