cell,r_center_cm,direction,mu_m,psi_ang_in
6,6.50000000e+00,8,9.50125098e-02,3.17407130e+00
7,7.50000000e+00,8,9.50125098e-02,1.12542480e+00
8,8.50000000e+00,8,9.50125098e-02,3.86437547e+00
9,9.50000000e+00,8,9.50125098e-02,6.59932428e-01
0,5.00000000e-01,9,2.81603551e-01,2.08188522e+00
1,1.50000000e+00,9,2.81603551e-01,2.00600936e+00
2,2.50000000e+00,9,2.81603551e-01,2.00917966e+00
3,3.50000000e+00,9,2.81603551e-01,2.19681679e+00
4,4.50000000e+00,9,2.81603551e-01,1.87354601e+00
5,5.50000000e+00,9,2.81603551e-01,2.54143836e+00
6,6.50000000e+00,9,2.81603551e-01,1.69763752e+00
7,7.50000000e+00,9,2.81603551e-01,3.00035269e+00
8,8.50000000e+00,9,2.81603551e-01,1.52535332e+00
9,9.50000000e+00,9,2.81603551e-01,3.49533127e+00
0,5.00000000e-01,10,4.58016778e-01,2.06957319e+00
1,1.50000000e+00,10,4.58016778e-01,2.02335002e+00
2,2.50000000e+00,10,4.58016778e-01,2.04614201e+00
3,3.50000000e+00,10,4.58016778e-01,2.02827922e+00
4,4.50000000e+00,10,4.58016778e-01,2.23338645e+00
5,5.50000000e+00,10,4.58016778e-01,1.92718528e+00
6,6.50000000e+00,10,4.58016778e-01,2.61029895e+00
7,7.50000000e+00,10,4.58016778e-01,1.72736514e+00
8,8.50000000e+00,10,4.58016778e-01,3.19604609e+00
9,9.50000000e+00,10,4.58016778e-01,1.37642292e+00
0,5.00000000e-01,11,6.17876244e-01,2.06488232e+00
1,1.50000000e+00,11,6.17876244e-01,2.02447294e+00
2,2.50000000e+00,11,6.17876244e-01,2.04095319e+00
3,3.50000000e+00,11,6.17876244e-01,2.08453219e+00
4,4.50000000e+00,11,6.17876244e-01,2.05361676e+00
5,5.50000000e+00,11,6.17876244e-01,2.29315471e+00
6,6.50000000e+00,11,6.17876244e-01,1.98401925e+00
7,7.50000000e+00,11,6.17876244e-01,2.66881526e+00
8,8.50000000e+00,11,6.17876244e-01,1.86573665e+00
9,9.50000000e+00,11,6.17876244e-01,3.13984455e+00
0,5.00000000e-01,12,7.55404408e-01,2.06409672e+00
1,1.50000000e+00,12,7.55404408e-01,2.02461748e+00
2,2.50000000e+00,12,7.55404408e-01,2.04109270e+00
3,3.50000000e+00,12,7.55404408e-01,2.06090593e+00
4,4.50000000e+00,12,7.55404408e-01,2.14665327e+00
5,5.50000000e+00,12,7.55404408e-01,2.05958438e+00
