cell,r_center_cm,phi_0
0,5.00000000e-01,4.11145147e+00
1,1.50000000e+00,4.04050534e+00
2,2.50000000e+00,4.10044125e+00
3,3.50000000e+00,4.13320726e+00
4,4.50000000e+00,4.25335338e+00
5,5.50000000e+00,4.29783488e+00
6,6.50000000e+00,4.52461108e+00
7,7.50000000e+00,4.49574068e+00
8,8.50000000e+00,5.01543266e+00
9,9.50000000e+00,4.53528201e+00
