cell,r_center_cm,phi_0,phi_1,phi_2,phi_3
65,6.55000000e-01,1.75750271e+00,-3.54181946e-01,-8.17426171e-04,1.23439195e-02
66,6.65000000e-01,1.76958332e+00,-3.60981994e-01,-1.41531049e-03,1.28132452e-02
67,6.75000000e-01,1.78208249e+00,-3.67862490e-01,-2.08245931e-03,1.33050168e-02
68,6.85000000e-01,1.79502102e+00,-3.74826560e-01,-2.82480490e-03,1.38206977e-02
69,6.95000000e-01,1.80842143e+00,-3.81877503e-01,-3.64883540e-03,1.43618681e-02
70,7.05000000e-01,1.82230804e+00,-3.89018810e-01,-4.56165268e-03,1.49302372e-02
71,7.15000000e-01,1.83670722e+00,-3.96254174e-01,-5.57103614e-03,1.55276554e-02
72,7.25000000e-01,1.85164757e+00,-4.03587514e-01,-6.68551283e-03,1.61561291e-02
73,7.35000000e-01,1.86716011e+00,-4.11022990e-01,-7.91443464e-03,1.68178361e-02
74,7.45000000e-01,1.88327860e+00,-4.18565028e-01,-9.26806308e-03,1.75151430e-02
75,7.55000000e-01,1.90003969e+00,-4.26218343e-01,-1.07576624e-02,1.82506241e-02
76,7.65000000e-01,1.91748331e+00,-4.33987963e-01,-1.23956020e-02,1.90270828e-02
77,7.75000000e-01,1.93565296e+00,-4.41879262e-01,-1.41954682e-02,1.98475750e-02
78,7.85000000e-01,1.95459601e+00,-4.49897991e-01,-1.61721879e-02,2.07154345e-02
79,7.95000000e-01,1.97436416e+00,-4.58050309e-01,-1.83421627e-02,2.16343017e-02
80,8.05000000e-01,1.99501379e+00,-4.66342827e-01,-2.07234174e-02,2.26081547e-02
81,8.15000000e-01,2.01660646e+00,-4.74782646e-01,-2.33357607e-02,2.36413437e-02
82,8.25000000e-01,2.03920938e+00,-4.83377406e-01,-2.62009632e-02,2.47386291e-02
83,8.35000000e-01,2.06289597e+00,-4.92135336e-01,-2.93429500e-02,2.59052232e-02
84,8.45000000e-01,2.08774647e+00,-5.01065309e-01,-3.27880129e-02,2.71468359e-02
85,8.55000000e-01,2.11384855e+00,-5.10176905e-01,-3.65650410e-02,2.84697255e-02
86,8.65000000e-01,2.14129805e+00,-5.19480475e-01,-4.07057734e-02,2.98807541e-02
87,8.75000000e-01,2.17019975e+00,-5.28987219e-01,-4.52450745e-02,3.13874484e-02
88,8.85000000e-01,2.20066819e+00,-5.38709262e-01,-5.02212347e-02,3.29980668e-02
89,8.95000000e-01,2.23282863e+00,-5.48659745e-01,-5.56762979e-02,3.47216727e-02
