cell,r_center_cm,psi_start
0,0.00000000e+00,2.15146627e-01
1,1.00000000e-02,2.17350914e-01
2,3.00000000e-02,2.21892723e-01
3,5.00000000e-02,2.26703828e-01
4,7.00000000e-02,2.31790035e-01
5,9.00000000e-02,2.37159132e-01
6,1.10000000e-01,2.42820373e-01
7,1.30000000e-01,2.48783343e-01
8,1.50000000e-01,2.55058138e-01
9,1.70000000e-01,2.61655155e-01
10,1.90000000e-01,2.68585243e-01
11,2.10000000e-01,2.75859598e-01
12,2.30000000e-01,2.83489880e-01
13,2.50000000e-01,2.91488146e-01
14,2.70000000e-01,2.99866928e-01
15,2.90000000e-01,3.08639196e-01
16,3.10000000e-01,3.17818408e-01
17,3.30000000e-01,3.27418493e-01
18,3.50000000e-01,3.37453874e-01
19,3.70000000e-01,3.47939462e-01
20,3.90000000e-01,3.58890665e-01
21,4.10000000e-01,3.70323384e-01
22,4.30000000e-01,3.82254006e-01
23,4.50000000e-01,3.94699397e-01
24,4.70000000e-01,4.07676880e-01
25,4.90000000e-01,4.21204220e-01
26,5.10000000e-01,4.35299588e-01
27,5.30000000e-01,4.49981521e-01
28,5.50000000e-01,4.65268876e-01
29,5.70000000e-01,4.81180765e-01
30,5.90000000e-01,4.97736477e-01
31,6.10000000e-01,5.14955384e-01
32,6.30000000e-01,5.32856828e-01
33,6.50000000e-01,5.51459978e-01
34,6.70000000e-01,5.70783666e-01
35,6.90000000e-01,5.90846178e-01
36,7.10000000e-01,6.11665008e-01
37,7.30000000e-01,6.33256554e-01
38,7.50000000e-01,6.55635739e-01
39,7.70000000e-01,6.78815544e-01
40,7.90000000e-01,7.02806417e-01
41,8.10000000e-01,7.27615502e-01
42,8.30000000e-01,7.53245651e-01
43,8.50000000e-01,7.79694074e-01
44,8.70000000e-01,8.06950491e-01
45,8.90000000e-01,8.34994493e-01
46,9.10000000e-01,8.63791346e-01
47,9.30000000e-01,8.93286152e-01
48,9.50000000e-01,9.23387844e-01
49,9.70000000e-01,9.53969660e-01
50,9.90000000e-01,9.84681677e-01
