cell,r_center_cm,psi_start
0,0.00000000e+00,1.56065043e+00
1,1.00000000e-02,1.56066659e+00
2,3.00000000e-02,1.56070051e+00
3,5.00000000e-02,1.56073761e+00
4,7.00000000e-02,1.56077784e+00
5,9.00000000e-02,1.56082121e+00
6,1.10000000e-01,1.56086772e+00
7,1.30000000e-01,1.56091735e+00
8,1.50000000e-01,1.56097013e+00
9,1.70000000e-01,1.56102603e+00
10,1.90000000e-01,1.56108507e+00
11,2.10000000e-01,1.56114725e+00
12,2.30000000e-01,1.56121256e+00
13,2.50000000e-01,1.56128100e+00
14,2.70000000e-01,1.56135258e+00
15,2.90000000e-01,1.56142729e+00
16,3.10000000e-01,1.56150514e+00
17,3.30000000e-01,1.56158611e+00
18,3.50000000e-01,1.56167022e+00
19,3.70000000e-01,1.56175746e+00
20,3.90000000e-01,1.56184783e+00
21,4.10000000e-01,1.56194134e+00
22,4.30000000e-01,1.56203797e+00
23,4.50000000e-01,1.56213774e+00
24,4.70000000e-01,1.56224063e+00
25,4.90000000e-01,1.56234666e+00
26,5.10000000e-01,1.56245583e+00
27,5.30000000e-01,1.56256812e+00
28,5.50000000e-01,1.56268354e+00
29,5.70000000e-01,1.56280210e+00
30,5.90000000e-01,1.56292379e+00
31,6.10000000e-01,1.56304861e+00
32,6.30000000e-01,1.56317657e+00
33,6.50000000e-01,1.56330766e+00
34,6.70000000e-01,1.56344188e+00
35,6.90000000e-01,1.56357924e+00
36,7.10000000e-01,1.56371973e+00
37,7.30000000e-01,1.56386336e+00
38,7.50000000e-01,1.56401012e+00
39,7.70000000e-01,1.56416002e+00
40,7.90000000e-01,1.56431305e+00
41,8.10000000e-01,1.56446922e+00
42,8.30000000e-01,1.56462853e+00
43,8.50000000e-01,1.56479097e+00
44,8.70000000e-01,1.56495656e+00
45,8.90000000e-01,1.56512528e+00
46,9.10000000e-01,1.56529714e+00
47,9.30000000e-01,1.56547214e+00
48,9.50000000e-01,1.56565028e+00
49,9.70000000e-01,1.56583156e+00
50,9.90000000e-01,1.56601599e+00
51,1.01000000e+00,1.56620355e+00
52,1.03000000e+00,1.56639426e+00
53,1.05000000e+00,1.56658811e+00
54,1.07000000e+00,1.56678511e+00
55,1.09000000e+00,1.56698525e+00
56,1.11000000e+00,1.56718853e+00
57,1.13000000e+00,1.56739496e+00
58,1.15000000e+00,1.56760454e+00
59,1.17000000e+00,1.56781727e+00
60,1.19000000e+00,1.56803314e+00
61,1.21000000e+00,1.56825216e+00
62,1.23000000e+00,1.56847434e+00
63,1.25000000e+00,1.56869966e+00
64,1.27000000e+00,1.56892813e+00
65,1.29000000e+00,1.56915976e+00
66,1.31000000e+00,1.56939454e+00
67,1.33000000e+00,1.56963247e+00
68,1.35000000e+00,1.56987356e+00
69,1.37000000e+00,1.57011780e+00
70,1.39000000e+00,1.57036520e+00
71,1.41000000e+00,1.57061576e+00
72,1.43000000e+00,1.57086947e+00
73,1.45000000e+00,1.57112635e+00
74,1.47000000e+00,1.57138638e+00
75,1.49000000e+00,1.57164957e+00
76,1.51000000e+00,1.57191593e+00
77,1.53000000e+00,1.57218544e+00
78,1.55000000e+00,1.57245813e+00
79,1.57000000e+00,1.57273397e+00
80,1.59000000e+00,1.57301298e+00
81,1.61000000e+00,1.57329516e+00
82,1.63000000e+00,1.57358051e+00
83,1.65000000e+00,1.57386902e+00
84,1.67000000e+00,1.57416070e+00
85,1.69000000e+00,1.57445556e+00
86,1.71000000e+00,1.57475358e+00
87,1.73000000e+00,1.57505478e+00
88,1.75000000e+00,1.57535915e+00
89,1.77000000e+00,1.57566670e+00
90,1.79000000e+00,1.57597742e+00
91,1.81000000e+00,1.57629132e+00
92,1.83000000e+00,1.57660840e+00
93,1.85000000e+00,1.57692866e+00
94,1.87000000e+00,1.57725209e+00
95,1.89000000e+00,1.57757871e+00
96,1.91000000e+00,1.57790851e+00
97,1.93000000e+00,1.57824150e+00
98,1.95000000e+00,1.57857767e+00
99,1.97000000e+00,1.57891703e+00
100,1.99000000e+00,1.57925957e+00
101,2.01000000e+00,1.57960531e+00
102,2.03000000e+00,1.57995423e+00
103,2.05000000e+00,1.58030634e+00
104,2.07000000e+00,1.58066165e+00
105,2.09000000e+00,1.58102015e+00
106,2.11000000e+00,1.58138185e+00
107,2.13000000e+00,1.58174674e+00
108,2.15000000e+00,1.58211483e+00
109,2.17000000e+00,1.58248612e+00
110,2.19000000e+00,1.58286061e+00
111,2.21000000e+00,1.58323830e+00
112,2.23000000e+00,1.58361920e+00
113,2.25000000e+00,1.58400329e+00
114,2.27000000e+00,1.58439060e+00
115,2.29000000e+00,1.58478111e+00
116,2.31000000e+00,1.58517483e+00
117,2.33000000e+00,1.58557176e+00
118,2.35000000e+00,1.58597190e+00
119,2.37000000e+00,1.58637526e+00
120,2.39000000e+00,1.58678182e+00
121,2.41000000e+00,1.58719161e+00
122,2.43000000e+00,1.58760461e+00
123,2.45000000e+00,1.58802083e+00
124,2.47000000e+00,1.58844027e+00
125,2.49000000e+00,1.58886293e+00
126,2.51000000e+00,1.58928882e+00
127,2.53000000e+00,1.58971793e+00
128,2.55000000e+00,1.59015027e+00
129,2.57000000e+00,1.59058583e+00
130,2.59000000e+00,1.59102463e+00
131,2.61000000e+00,1.59146665e+00
132,2.63000000e+00,1.59191191e+00
133,2.65000000e+00,1.59236040e+00
134,2.67000000e+00,1.59281213e+00
135,2.69000000e+00,1.59326709e+00
136,2.71000000e+00,1.59372530e+00
137,2.73000000e+00,1.59418674e+00
138,2.75000000e+00,1.59465143e+00
139,2.77000000e+00,1.59511936e+00
140,2.79000000e+00,1.59559054e+00
141,2.81000000e+00,1.59606496e+00
142,2.83000000e+00,1.59654264e+00
143,2.85000000e+00,1.59702356e+00
144,2.87000000e+00,1.59750774e+00
145,2.89000000e+00,1.59799517e+00
146,2.91000000e+00,1.59848586e+00
147,2.93000000e+00,1.59897981e+00
148,2.95000000e+00,1.59947701e+00
149,2.97000000e+00,1.59997748e+00
150,2.99000000e+00,1.60048121e+00
151,3.01000000e+00,1.60098821e+00
152,3.03000000e+00,1.60149847e+00
153,3.05000000e+00,1.60201200e+00
154,3.07000000e+00,1.60252880e+00
155,3.09000000e+00,1.60304888e+00
156,3.11000000e+00,1.60357222e+00
157,3.13000000e+00,1.60409885e+00
158,3.15000000e+00,1.60462875e+00
159,3.17000000e+00,1.60516193e+00
160,3.19000000e+00,1.60569840e+00
161,3.21000000e+00,1.60623815e+00
162,3.23000000e+00,1.60678118e+00
163,3.25000000e+00,1.60732751e+00
164,3.27000000e+00,1.60787712e+00
165,3.29000000e+00,1.60843002e+00
166,3.31000000e+00,1.60898622e+00
167,3.33000000e+00,1.60954571e+00
168,3.35000000e+00,1.61010850e+00
169,3.37000000e+00,1.61067460e+00
170,3.39000000e+00,1.61124399e+00
171,3.41000000e+00,1.61181669e+00
172,3.43000000e+00,1.61239269e+00
173,3.45000000e+00,1.61297200e+00
174,3.47000000e+00,1.61355462e+00
175,3.49000000e+00,1.61414056e+00
176,3.51000000e+00,1.61472980e+00
177,3.53000000e+00,1.61532237e+00
178,3.55000000e+00,1.61591825e+00
179,3.57000000e+00,1.61651745e+00
180,3.59000000e+00,1.61711998e+00
181,3.61000000e+00,1.61772583e+00
182,3.63000000e+00,1.61833501e+00
183,3.65000000e+00,1.61894752e+00
184,3.67000000e+00,1.61956336e+00
185,3.69000000e+00,1.62018254e+00
186,3.71000000e+00,1.62080505e+00
187,3.73000000e+00,1.62143090e+00
188,3.75000000e+00,1.62206009e+00
189,3.77000000e+00,1.62269262e+00
190,3.79000000e+00,1.62332850e+00
191,3.81000000e+00,1.62396772e+00
192,3.83000000e+00,1.62461030e+00
193,3.85000000e+00,1.62525622e+00
194,3.87000000e+00,1.62590551e+00
195,3.89000000e+00,1.62655815e+00
196,3.91000000e+00,1.62721414e+00
197,3.93000000e+00,1.62787350e+00
198,3.95000000e+00,1.62853623e+00
199,3.97000000e+00,1.62920232e+00
200,3.99000000e+00,1.62987178e+00
201,4.01000000e+00,1.63054461e+00
202,4.03000000e+00,1.63122081e+00
203,4.05000000e+00,1.63190039e+00
204,4.07000000e+00,1.63258335e+00
205,4.09000000e+00,1.63326969e+00
206,4.11000000e+00,1.63395941e+00
207,4.13000000e+00,1.63465252e+00
208,4.15000000e+00,1.63534902e+00
209,4.17000000e+00,1.63604891e+00
