cell,r_center_cm,phi_0
159,3.19000000e+00,3.20126638e+00
160,3.21000000e+00,3.20228038e+00
161,3.23000000e+00,3.20330092e+00
162,3.25000000e+00,3.20432799e+00
163,3.27000000e+00,3.20536160e+00
164,3.29000000e+00,3.20640176e+00
165,3.31000000e+00,3.20744847e+00
166,3.33000000e+00,3.20850172e+00
167,3.35000000e+00,3.20956154e+00
168,3.37000000e+00,3.21062792e+00
169,3.39000000e+00,3.21170086e+00
170,3.41000000e+00,3.21278037e+00
171,3.43000000e+00,3.21386645e+00
172,3.45000000e+00,3.21495910e+00
173,3.47000000e+00,3.21605834e+00
174,3.49000000e+00,3.21716415e+00
175,3.51000000e+00,3.21827656e+00
176,3.53000000e+00,3.21939556e+00
177,3.55000000e+00,3.22052115e+00
178,3.57000000e+00,3.22165335e+00
179,3.59000000e+00,3.22279214e+00
180,3.61000000e+00,3.22393755e+00
181,3.63000000e+00,3.22508957e+00
182,3.65000000e+00,3.22624820e+00
183,3.67000000e+00,3.22741345e+00
184,3.69000000e+00,3.22858533e+00
185,3.71000000e+00,3.22976384e+00
186,3.73000000e+00,3.23094898e+00
187,3.75000000e+00,3.23214076e+00
188,3.77000000e+00,3.23333918e+00
189,3.79000000e+00,3.23454424e+00
190,3.81000000e+00,3.23575596e+00
191,3.83000000e+00,3.23697433e+00
192,3.85000000e+00,3.23819936e+00
193,3.87000000e+00,3.23943105e+00
194,3.89000000e+00,3.24066942e+00
195,3.91000000e+00,3.24191445e+00
196,3.93000000e+00,3.24316616e+00
197,3.95000000e+00,3.24442455e+00
198,3.97000000e+00,3.24568963e+00
199,3.99000000e+00,3.24696140e+00
200,4.01000000e+00,3.24823986e+00
201,4.03000000e+00,3.24952503e+00
202,4.05000000e+00,3.25081690e+00
203,4.07000000e+00,3.25211548e+00
204,4.09000000e+00,3.25342077e+00
205,4.11000000e+00,3.25473278e+00
206,4.13000000e+00,3.25605151e+00
207,4.15000000e+00,3.25737697e+00
208,4.17000000e+00,3.25870917e+00
209,4.19000000e+00,3.26004810e+00
210,4.21000000e+00,3.26139377e+00
211,4.23000000e+00,3.26274620e+00
212,4.25000000e+00,3.26410537e+00
213,4.27000000e+00,3.26547130e+00
214,4.29000000e+00,3.26684400e+00
215,4.31000000e+00,3.26822346e+00
216,4.33000000e+00,3.26960969e+00
217,4.35000000e+00,3.27100270e+00
218,4.37000000e+00,3.27240249e+00
219,4.39000000e+00,3.27380907e+00
220,4.41000000e+00,3.27522244e+00
221,4.43000000e+00,3.27664261e+00
222,4.45000000e+00,3.27806958e+00
223,4.47000000e+00,3.27950336e+00
224,4.49000000e+00,3.28094395e+00
225,4.51000000e+00,3.28239136e+00
226,4.53000000e+00,3.28384560e+00
227,4.55000000e+00,3.28530666e+00
228,4.57000000e+00,3.28677456e+00
229,4.59000000e+00,3.28824929e+00
230,4.61000000e+00,3.28973087e+00
231,4.63000000e+00,3.29121930e+00
232,4.65000000e+00,3.29271459e+00
233,4.67000000e+00,3.29421673e+00
234,4.69000000e+00,3.29572574e+00
235,4.71000000e+00,3.29724163e+00
236,4.73000000e+00,3.29876439e+00
237,4.75000000e+00,3.30029403e+00
238,4.77000000e+00,3.30183056e+00
239,4.79000000e+00,3.30337399e+00
240,4.81000000e+00,3.30492431e+00
241,4.83000000e+00,3.30648154e+00
242,4.85000000e+00,3.30804568e+00
243,4.87000000e+00,3.30961674e+00
244,4.89000000e+00,3.31119472e+00
245,4.91000000e+00,3.31277962e+00
246,4.93000000e+00,3.31437146e+00
247,4.95000000e+00,3.31597024e+00
248,4.97000000e+00,3.31757596e+00
249,4.99000000e+00,3.31918864e+00
250,5.01000000e+00,3.32080827e+00
251,5.03000000e+00,3.32243486e+00
252,5.05000000e+00,3.32406842e+00
253,5.07000000e+00,3.32570896e+00
254,5.09000000e+00,3.32735647e+00
255,5.11000000e+00,3.32901098e+00
256,5.13000000e+00,3.33067247e+00
257,5.15000000e+00,3.33234096e+00
258,5.17000000e+00,3.33401646e+00
259,5.19000000e+00,3.33569897e+00
260,5.21000000e+00,3.33738849e+00
261,5.23000000e+00,3.33908504e+00
262,5.25000000e+00,3.34078861e+00
263,5.27000000e+00,3.34249922e+00
264,5.29000000e+00,3.34421687e+00
265,5.31000000e+00,3.34594157e+00
266,5.33000000e+00,3.34767332e+00
267,5.35000000e+00,3.34941214e+00
268,5.37000000e+00,3.35115801e+00
269,5.39000000e+00,3.35291096e+00
270,5.41000000e+00,3.35467099e+00
271,5.43000000e+00,3.35643811e+00
272,5.45000000e+00,3.35821231e+00
273,5.47000000e+00,3.35999362e+00
274,5.49000000e+00,3.36178203e+00
275,5.51000000e+00,3.36357755e+00
276,5.53000000e+00,3.36538019e+00
277,5.55000000e+00,3.36718995e+00
