cell,r_center_cm,phi_0
0,1.00000000e-02,8.60639474e-01
1,3.00000000e-02,8.61241447e-01
2,5.00000000e-02,8.62891006e-01
3,7.00000000e-02,8.65591563e-01
4,9.00000000e-02,8.69026239e-01
5,1.10000000e-01,8.73321568e-01
6,1.30000000e-01,8.78397260e-01
7,1.50000000e-01,8.84349655e-01
8,1.70000000e-01,8.91144907e-01
9,1.90000000e-01,8.98854465e-01
10,2.10000000e-01,9.07468410e-01
11,2.30000000e-01,9.17041848e-01
12,2.50000000e-01,9.27582045e-01
13,2.70000000e-01,9.39133972e-01
14,2.90000000e-01,9.51717945e-01
15,3.10000000e-01,9.65374303e-01
16,3.30000000e-01,9.80133184e-01
17,3.50000000e-01,9.96034967e-01
18,3.70000000e-01,1.01311769e+00
19,3.90000000e-01,1.03142530e+00
20,4.10000000e-01,1.05100332e+00
21,4.30000000e-01,1.07190193e+00
22,4.50000000e-01,1.09417496e+00
23,4.70000000e-01,1.11788115e+00
24,4.90000000e-01,1.14308436e+00
25,5.10000000e-01,1.16985441e+00
26,5.30000000e-01,1.19826773e+00
27,5.50000000e-01,1.22840822e+00
28,5.70000000e-01,1.26036823e+00
29,5.90000000e-01,1.29424967e+00
30,6.10000000e-01,1.33016530e+00
31,6.30000000e-01,1.36824022e+00
32,6.50000000e-01,1.40861376e+00
33,6.70000000e-01,1.45144160e+00
34,6.90000000e-01,1.49689854e+00
35,7.10000000e-01,1.54518185e+00
36,7.30000000e-01,1.59651576e+00
37,7.50000000e-01,1.65115715e+00
38,7.70000000e-01,1.70940337e+00
39,7.90000000e-01,1.77160286e+00
40,8.10000000e-01,1.83817013e+00
41,8.30000000e-01,1.90960746e+00
42,8.50000000e-01,1.98653682e+00
43,8.70000000e-01,2.06975240e+00
44,8.90000000e-01,2.16029563e+00
45,9.10000000e-01,2.25965164e+00
46,9.30000000e-01,2.36982003e+00
47,9.50000000e-01,2.49513964e+00
48,9.70000000e-01,2.63708606e+00
49,9.90000000e-01,2.83582996e+00
